Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
TRUE,Belair,503294,Fgura,First Floor (+) Maisonette,,,1,2,65,,,145000
TRUE,Belair,503298,Fgura,Apartment,,,1,1,62,,,150000
TRUE,Belair,504988,Msida,Ground Floor Maisonette,,,1,1,80,,,185000
TRUE,Belair,307980,Gzira,Apartment,,,1,1,,,,200000
TRUE,Belair,307612,Sliema,Ground Floor Maisonette,,,2,2,50,,,250000
TRUE,Belair,307617,"Kalkara, Shoreline",Apartment,,,1,1,62,,,280000
TRUE,Belair,307621,"Kalkara, Shoreline",Apartment,,,1,1,69,,,285000
TRUE,Belair,505150,Santa Venera,Apartment,,,3,2,115,,,290000
TRUE,Belair,307618,"Kalkara, Shoreline",Apartment,,,1,1,62,,,290000
TRUE,Belair,307622,"Kalkara, Shoreline",Apartment,,,1,1,69,,,295000
TRUE,Belair,307950,Mosta,Apartment,,,3,2,140,,,298000
TRUE,Belair,307619,"Kalkara, Shoreline",Apartment,,,1,1,62,,,300000
TRUE,Belair,307623,"Kalkara, Shoreline",Apartment,,,1,1,69,,,305000
TRUE,Belair,307620,"Kalkara, Shoreline",Apartment,,,1,1,62,,,310000
TRUE,Belair,803277,Balzan,Penthouse,,,2,2,135,,,310000
TRUE,Belair,307624,"Kalkara, Shoreline",Apartment,,,1,1,69,,,315000
TRUE,Belair,505324,Bahar Ic-Caghaq,Apartment,,,3,2,150,,,340000
TRUE,Belair,131887,Kalkara,Apartment,,,3,2,165,,,350000
TRUE,Belair,501456,Sliema,Penthouse,,,2,1,95,,,350000
TRUE,Belair,305837,Gzira,Penthouse,,,2,2,130,,,360000
TRUE,Belair,137439,Mellieha,Ground Floor Maisonette,,,3,2,205,,,368000
TRUE,Belair,505183,St Julians,Apartment,,,3,2,126,,,380000
TRUE,Belair,504972,Pieta,Penthouse,,,1,1,90,,,415000
TRUE,Belair,504768,Santa Venera,Apartment,,,5,2,210,,,420000
TRUE,Belair,505019,Swieqi,Apartment,,,2,2,135,,,425000
TRUE,Belair,307736,Bahar Ic-Caghaq,Duplex Penthouse,,,3,3,154,,,485000
TRUE,Belair,504578,Attard,Penthouse,,,3,2,310,,,650000
TRUE,Belair,700550,Zebbug,House of Character,,,4,3,180,,,765000
TRUE,Belair,701592,Qormi,House of Character,,,5,5,275,,,885000
TRUE,Belair,701853,Birkirkara,Townhouse,,,4,5,225,,,975000
TRUE,Belair,803183,Attard,Detached Bungalow,,,3,3,457,,,1295000
TRUE,Belair,504783,Swieqi,Penthouse,,,3,3,320,,,1300000
TRUE,Belair,701849,Ibrag,Within Development Zone (DZ),,,4,0,530,,,1350000
TRUE,Belair,701850,Ibrag,Within Development Zone (DZ),,,4,0,590,,,1480000
TRUE,Belair,505234,Ibrag,Semi-detached Villa,,,4,5,530,,,1800000
TRUE,Belair,505235,Ibrag,Semi-detached Villa,,,4,5,590,,,1950000
TRUE,Belair,800951,St Pauls Bay,Apartment,,,2,1,65,,,165000
TRUE,Belair,306272,Qawra,Apartment,,,2,2,115,,,182000
TRUE,Belair,701565,Floriana,Duplex Maisonette,,,1,2,65,,,185000
