Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Rooms,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
True,Ben Estate,BSTWC171407,Birkirkara,Town House,,,,3,2,201.00,,,560000
True,Ben Estate,BSSTR171405,Zabbar,Warehouse,,,,,,400.00,,,850000
True,Ben Estate,BSDPP171401,Cospicua,Duplex Penthouse,,,,2,2,140.00,,,320000
True,Ben Estate,BSDPA171399,Cospicua,Duplex Apartment,,,,4,2,140.00,,,310000
True,Ben Estate,BSGFM171397,Birzebbuga,Ground Floor Maisonette,,,,2,1,137.00,,,420000
True,Ben Estate,BSTWC171391,Rabat,Town House,,,,,,376.00,,,1170000
True,Ben Estate,BSEGFM171377,Luqa,Elevated Ground Floor Maisonette,,,,3,2,120.00,,,277000
True,Ben Estate,BSCHC171375,Safi,House of Character,,,,,,150.00,,,635000
True,Ben Estate,BSGFA171371,St. Pauls Bay,Ground Floor Apartment,,,,1,2,90.00,,,220000
True,Ben Estate,BSRTL171366,Zabbar,Retail Outlet,,,,1,,180.00,,,795000
True,Ben Estate,BSEGFM171362,Swatar,Elevated Ground Floor Maisonette,,,,3,2,73.00,,,340000
True,Ben Estate,BSAPT171360,Gozo - Ghajnsielem,Apartment,,,,1,1,55.00,,,170000
True,Ben Estate,BSPTH171354,Birkirkara,Penthouse,,,,2,2,,,,320000
True,Ben Estate,BSAPT171352,Birkirkara,Apartment,,,,3,2,,,,265000
True,Ben Estate,BSAPT171350,Birkirkara,Apartment,,,,3,2,,,,265000
True,Ben Estate,BSAPT171348,Birkirkara,Apartment,,,,3,2,,,,265000
True,Ben Estate,BSAPT171346,Birkirkara,Apartment,,,,2,2,,,,245000
True,Ben Estate,BSSLG171344,Birkirkara,Street Level Garage,,,,,,,,,106000
True,Ben Estate,BSAPT171342,Qawra,Apartment,,,,3,2,130.00,,,275000
True,Ben Estate,BSBGR171340,Gharghur,Basement Garage,,,,,,35.00,,,64000
True,Ben Estate,BSGFM171302,Birkirkara,Ground Floor Maisonette,,,,1,1,55.00,,,185000
True,Ben Estate,BSAPT171300,St. Pauls Bay,Apartment,,,,3,2,114.38,,,330000
True,Ben Estate,BSEGFM171298,Birkirkara,Elevated Ground Floor Maisonette,,,,3,2,150.00,,,380000
True,Ben Estate,BSGFM171282,Mellieha,Ground Floor Maisonette,,,,3,2,187.00,,,459000
True,Ben Estate,BSPTH171258,Ghaxaq,Penthouse,,,,2,1,74.00,,,318000
True,Ben Estate,BSAPT171230,St. Pauls Bay,Apartment,,,,2,1,70.00,,,230000
True,Ben Estate,BSFLD171196,Marsascala,Field,,,,,,1200.00,,,320000
True,Ben Estate,BSGFM171187,Swatar,Ground Floor Maisonette,,,,3,2,128.00,,,371000
True,Ben Estate,BSTWC171185,Rabat,Town House,,,,2,1,,,,350000
True,Ben Estate,BSAPT171119,Santa Venera,Apartment,,,,2,2,127.00,,,295000
True,Ben Estate,BSCAPT171117,Pieta,Corner Apartment,,,,,,57.00,,,160000
True,Ben Estate,BSAPT171115,Zabbar,Apartment,,,,2,2,91.00,,,245000
True,Ben Estate,BSAPT171113,Zabbar,Apartment,,,,2,2,91.00,,,245000
True,Ben Estate,BSAPT171111,Zabbar,Apartment,,,,2,2,91.00,,,245000
True,Ben Estate,BSCPH171109,Gozo - Ghajnsielem,Corner Penthouse,,,,3,3,204.00,,,760000
True,Ben Estate,BSGFM171103,Marsascala,Ground Floor Maisonette,,,,1,1,50.00,,,400000
True,Ben Estate,BSAPT171099,Pieta,Apartment,,,,3,2,100.00,,,203500
True,Ben Estate,BSAPT171077,Bugibba,Apartment,,,,3,2,86.00,,,220000
True,Ben Estate,BSAPT171075,Bugibba,Apartment,,,,3,2,110.00,,,280000
True,Ben Estate,BSAPT171073,Bugibba,Apartment,,,,2,2,88.00,,,210000
True,Ben Estate,BSAPT171071,Bugibba,Apartment,,,,3,2,110.00,,,260000
True,Ben Estate,BSAPT171069,Bugibba,Apartment,,,,2,2,88.00,,,210000
True,Ben Estate,BSAPT171067,Bugibba,Apartment,,,,3,2,110.00,,,260000
True,Ben Estate,BSAPT171065,Bugibba,Apartment,,,,3,2,110.00,,,260000
True,Ben Estate,BSAPT171063,Bugibba,Apartment,,,,3,2,110.00,,,260000
True,Ben Estate,BS2F171061,Bugibba,Second Floor Apartment,,,,3,2,110.00,,,260000
True,Ben Estate,BS2F171059,Bugibba,Second Floor Apartment,,,,3,2,110.00,,,255000
True,Ben Estate,BS1F171057,Bugibba,First Floor Apartment,,,,3,2,110.00,,,260000
True,Ben Estate,BSCOMM171053,Gozo - Qala,Commercial,,,,,,36.20,,,70000
True,Ben Estate,BSPTH171051,Gozo - Qala,Penthouse,,,,3,2,100.80,,,310000
True,Ben Estate,BSAPT171049,Gozo - Qala,Apartment,,,,3,2,82.90,,,158000
True,Ben Estate,BSAPT171047,Gozo - Qala,Apartment,,,,3,2,95.70,,,161000
True,Ben Estate,BSAPT171045,Gozo - Qala,Apartment,,,,3,2,82.90,,,155000
True,Ben Estate,BSAPT171043,Gozo - Qala,Apartment,,,,3,2,95.70,,,158000
True,Ben Estate,BSAPT171041,Gozo - Qala,Apartment,,,,3,2,82.90,,,152000
True,Ben Estate,BSAPT171039,Gozo - Qala,Apartment,,,,3,2,95.70,,,155000
True,Ben Estate,BSSLG171037,Gozo - Qala,Street Level Garage,,,,,,31.90,,,62000
True,Ben Estate,BSSTR171033,Mosta,Warehouse,,,,,,120.00,,,250000
True,Ben Estate,BSPTH171029,Santa Venera,Penthouse,,,,2,2,57.50,,,260000
True,Ben Estate,BSPTH171024,Msida,Penthouse,,,,2,1,66.00,,,335000
True,Ben Estate,BSAPT171014,San Pawl Tat-Targa,Apartment,,,,3,2,122.93,,,371000
True,Ben Estate,BSAPT171012,San Pawl Tat-Targa,Apartment,,,,3,2,122.93,,,382000
True,Ben Estate,BSPLT171010,Hamrun,Site,,,,,,,,,510000
True,Ben Estate,BSFFM171008,Floriana,First Floor Maisonette,,,,1,1,80.00,,,175000
True,Ben Estate,BSPLI170976,Tarxien,Plot Within Building Scheme,,,,3,2,180.00,,,610000
True,Ben Estate,BS1F170974,Bugibba,First Floor Apartment,,,,3,2,110.00,,,260000
True,Ben Estate,BSEGFM170962,Paola,Elevated Ground Floor Maisonette,,,,3,2,148.00,,,320000
True,Ben Estate,BSAPT170960,Hamrun,Apartment,,,,1,1,53.00,,,180000
True,Ben Estate,BSAPT170956,Pieta,Apartment,,,,2,2,85.25,,,212000
True,Ben Estate,BSAPT170954,Pieta,Apartment,,,,2,2,85.25,,,207000
True,Ben Estate,BSAPT170952,Pieta,Apartment,,,,2,2,85.25,,,202000
True,Ben Estate,BSUHC170942,Birkirkara,Unconverted House of Character,,,,2,2,85.00,,,265000
True,Ben Estate,BSAPT170940,Hamrun,Apartment,,,,2,2,84.00,,,235000
True,Ben Estate,BSAPT170938,Hamrun,Apartment,,,,2,2,87.00,,,235000
True,Ben Estate,BSSTR170936,Mosta,Warehouse,,,,,,167.00,,,350000
True,Ben Estate,BSAPT170932,Mellieha,Apartment,,,,2,2,106.00,,,320000
True,Ben Estate,BSSOM170930,Dingli,Solitary Maisonette,,,,2,2,100.00,,,370000
True,Ben Estate,BSAPT170928,Pieta,Apartment,,,,1,1,50.00,,,152000
True,Ben Estate,BSCAPT170926,Pieta,Corner Apartment,,,,1,1,57.00,,,160000
True,Ben Estate,BSCAPT170924,Pieta,Corner Apartment,,,,1,1,57.00,,,165000
True,Ben Estate,BSCAPT170922,Pieta,Corner Apartment,,,,1,1,57.00,,,151000
True,Ben Estate,BSFFM170916,Pieta,First Floor Maisonette,,,,1,1,50.00,,,140000
True,Ben Estate,BSAPT170912,Naxxar,Apartment,,,,3,2,132.00,,,415000
True,Ben Estate,BSPTH170910,Gozo - Ghajnsielem,Penthouse,,,,1,1,58.10,,,241000
True,Ben Estate,BSPTH170908,Gozo - Ghajnsielem,Penthouse,,,,1,1,56.50,,,241000
True,Ben Estate,BSAPT170902,Gozo - Ghajnsielem,Apartment,,,,2,2,77.20,,,231000
True,Ben Estate,BSAPT170900,Gozo - Ghajnsielem,Apartment,,,,2,2,75.40,,,231000
True,Ben Estate,BSAPT170898,Gozo - Ghajnsielem,Apartment,,,,2,2,72.80,,,211000
True,Ben Estate,BSAPT170896,Gozo - Ghajnsielem,Apartment,,,,2,2,71.00,,,211000
True,Ben Estate,BSAPT170894,Sliema,Apartment,,,,3,2,135.00,,,399000
True,Ben Estate,BSPLI170888,Rabat,Plot Within Building Scheme,,,,3,2,90.00,,,350000
True,Ben Estate,BSBGR170884,Msida,Basement Garage,,,,,,60.00,,,96000
True,Ben Estate,BSBGR170882,Msida,Basement Garage,,,,,,15.00,,,31000
True,Ben Estate,BSC4C170880,Ta' Qali,Commercial Class 4,,,,1,,160.00,,,955000
True,Ben Estate,BSBGR170876,Msida,Basement Garage,,,,,,45.00,,,69000
True,Ben Estate,BSBGR170872,Msida,Basement Garage,,,,,,75.00,,,117000
True,Ben Estate,BSBGR170870,Msida,Basement Garage,,,,,,30.00,,,48000
True,Ben Estate,BSC4C170850,Zejtun,Commercial Class 4,,,,1,,74.00,,,300000
True,Ben Estate,BSDPA170846,Gzira,Duplex Apartment,,,,1,2,106.00,,,340000
True,Ben Estate,BSDPM170844,Hamrun,Duplex Maisonette,,,,2,2,,,,275000
True,Ben Estate,BSAPT170808,Zebbug,Apartment,,,,2,1,115.00,,,297000
True,Ben Estate,BSC4C170806,Birkirkara,Commercial Class 4,,,,3,,370.00,,,1065000
True,Ben Estate,BSTWC170804,Zabbar,Town House,,,,3,2,115.00,,,296000
True,Ben Estate,BSPTH170802,Hamrun,Penthouse,,,,1,1,69.00,,,225000
True,Ben Estate,BSPTH170800,Hamrun,Penthouse,,,,1,2,73.00,,,225000
True,Ben Estate,BSAPT170798,Hamrun,Apartment,,,,2,2,84.00,,,235000
True,Ben Estate,BSAPT170796,Hamrun,Apartment,,,,2,2,87.00,,,235000
True,Ben Estate,BSAPT170794,Hamrun,Apartment,,,,2,2,84.00,,,235000
True,Ben Estate,BSAPT170792,Hamrun,Apartment,,,,2,2,87.00,,,235000
True,Ben Estate,BSAPT170790,Hamrun,Apartment,,,,2,2,85.00,,,235000
True,Ben Estate,BSAPT170788,Hamrun,Apartment,,,,2,2,85.00,,,235000
True,Ben Estate,BSAPT170786,San Gwann,Apartment,,,,2,2,90.00,,,315000
True,Ben Estate,BSPLT170779,Zabbar,Site,,,,1,,84.00,,,425000
True,Ben Estate,BSTEH170777,Zabbar,Terraced House,,,,3,1,84.00,,,425000
True,Ben Estate,BSCOMM170774,Fgura,Commercial,,,,1,,115.00,,,270000
True,Ben Estate,BSMSN170768,Fgura,Maisonette,,,,2,1,115.00,,,270000
True,Ben Estate,BSCPH170754,Madliena,Corner Penthouse,,,,3,3,140.00,,,1500000
True,Ben Estate,BSDPP170752,Mellieha,Duplex Penthouse,,,,3,4,200.00,,,1100000
True,Ben Estate,BSPLI170750,Siggiewi,Plot Within Building Scheme,,,,,,340.00,,,1200000
True,Ben Estate,BSPTH170748,Mellieha,Penthouse,,,,3,2,130.00,,,595000
True,Ben Estate,BSEGFM170744,Mellieha,Elevated Ground Floor Maisonette,,,,3,3,115.00,,,450000
True,Ben Estate,BSAPT170742,Qormi,Apartment,,,,2,2,100.00,,,210000
True,Ben Estate,BSAPT170740,Gharghur,Apartment,,,,2,2,92.00,,,360000
True,Ben Estate,BSPTH170738,Gharghur,Penthouse,,,,1,1,63.00,,,430000
True,Ben Estate,BSAPT170736,Gharghur,Apartment,,,,2,2,92.00,,,355000
True,Ben Estate,BSAPT170734,Gharghur,Apartment,,,,2,2,92.00,,,350000
True,Ben Estate,BSAPT170732,Fgura,Apartment,,,,3,2,119.00,,,186000
True,Ben Estate,BSSLG170724,Santa Venera,Street Level Garage,,,,,,42.90,,,145000
True,Ben Estate,BSAPT170722,Ibragg,Apartment,,,,3,2,135.00,,,440000
True,Ben Estate,BSTWC170720,Ghaxaq,Town House,,,,3,1,100.00,,,381000
True,Ben Estate,BSCTH170718,Zurrieq,Corner Terraced House,,,,3,2,190.00,,,530000
True,Ben Estate,BSAPT170716,St. Julians,Apartment,,,,3,2,190.00,,,380000
True,Ben Estate,BSTEH170714,Zabbar,Terraced House,,,,3,3,200.00,,,408000
True,Ben Estate,BSSLG170692,Birkirkara,Street Level Garage,,,,,,113.00,,,281000
True,Ben Estate,BSAPT170690,Qawra,Apartment,,,,2,1,60.00,,,190000
True,Ben Estate,BSBGR170688,Santa Venera,Basement Garage,,,,,,132.00,,,250000
True,Ben Estate,BSAPT170684,Gozo - Nadur,Apartment,,,,3,4,141.70,,,340000
True,Ben Estate,BSDPA170682,Gozo - Nadur,Duplex Apartment,,,,2,4,213.00,,,405000
True,Ben Estate,BSBGR170678,Burmarrad,Basement Garage,,,,,,,,,48000
True,Ben Estate,BSUHC170674,Zurrieq,Unconverted House of Character,,,,4,1,270.00,,,850000
True,Ben Estate,BSAPT170670,Birzebbuga,Apartment,,,,1,1,52.00,,,190000
True,Ben Estate,BSAPT170668,Bugibba,Apartment,,,,3,2,137.00,,,204000
True,Ben Estate,BSPTH170666,Burmarrad,Penthouse,,,,3,2,190.00,,,950000
True,Ben Estate,BS4F170664,Burmarrad,Fourth Floor Apartment,,,,,,,,,660000
True,Ben Estate,BS4F170662,Burmarrad,Fourth Floor Apartment,,,,3,2,145.00,,,530000
True,Ben Estate,BS3F170660,Burmarrad,Third Floor Apartment,,,,3,2,145.00,,,392000
True,Ben Estate,BS3F170658,Burmarrad,Third Floor Apartment,,,,3,2,169.00,,,403000
True,Ben Estate,BS3F170656,Burmarrad,Third Floor Apartment,,,,3,3,127.00,,,382000
True,Ben Estate,BS2F170654,Burmarrad,Second Floor Apartment,,,,3,2,145.00,,,382000
True,Ben Estate,BS2F170652,Burmarrad,Second Floor Apartment,,,,3,2,169.00,,,392000
True,Ben Estate,BS2F170650,Burmarrad,Second Floor Apartment,,,,3,2,127.00,,,371000
True,Ben Estate,BS1F170648,Burmarrad,First Floor Apartment,,,,3,2,169.00,,,382000
True,Ben Estate,BSFFM170646,Burmarrad,First Floor Maisonette,,,,3,2,123.00,,,371000
True,Ben Estate,BSFFM170644,Burmarrad,First Floor Maisonette,,,,3,2,145.00,,,360000
True,Ben Estate,BSAPT170642,Lija,Apartment,,,,3,2,135.00,,,385000
True,Ben Estate,BSTEH170632,Ghaxaq,Terraced House,,,,3,2,300.00,,,595000
True,Ben Estate,BSGFM170630,Qormi,Ground Floor Maisonette,,,,3,1,122.00,,,212000
True,Ben Estate,BSFFM170628,Fgura,First Floor Maisonette,,,,3,1,100.50,,,350000
True,Ben Estate,BSCFH170612,Benghajsa,Farmhouse,,,,5,1,2000.00,,,2753400
True,Ben Estate,BSAPT170592,Ibragg,Apartment,,,,2,2,138.00,,,325000
True,Ben Estate,BSAPT170590,Ibragg,Apartment,,,,3,2,138.00,,,310000
True,Ben Estate,BSTEH170546,Zejtun,Terraced House,,,,4,3,132.00,,,743000
True,Ben Estate,BSAPT170542,Marsascala,Apartment,,,,3,2,135.00,,,255000
True,Ben Estate,BSPLT170538,Marsascala,Site,,,,3,2,110.00,,,470000
True,Ben Estate,BSAPT170536,Naxxar,Apartment,,,,3,2,135.00,,,319000
True,Ben Estate,BSPTH170534,Mellieha,Penthouse,,,,3,2,174.00,,,765000
True,Ben Estate,BSAPT170526,Marsascala,Apartment,,,,3,2,110.00,,,235000
True,Ben Estate,BSAPT170524,Marsascala,Apartment,,,,2,2,95.00,,,240000
True,Ben Estate,BSPTH170522,Zejtun,Penthouse,,,,3,2,110.00,,,340000
True,Ben Estate,BSAPT170490,Ghaxaq,Apartment,,,,,,85.00,,,292000
True,Ben Estate,BSTRM170486,Floriana,Triplex Maisonette,,,,2,2,90.00,,,325000
True,Ben Estate,BSDPP170482,Gzira,Duplex Penthouse,,,,3,3,93.00,,,310000
True,Ben Estate,BSDPP170480,Gzira,Duplex Penthouse,,,,3,3,90.00,,,310000
True,Ben Estate,BSDPA170474,Gzira,Duplex Apartment,,,,2,2,82.00,,,200000
True,Ben Estate,BSAPT170460,Gozo - Xewkija,Apartment,,,,3,2,127.00,,,165000
True,Ben Estate,BSAPT170458,Pieta,Apartment,,,,3,2,135.00,,,240000
True,Ben Estate,BSSLG170435,Birkirkara,Street Level Garage,,,,1,,52.00,,,192000
True,Ben Estate,BSSLG170433,Birkirkara,Street Level Garage,,,,1,,43.00,,,192000
True,Ben Estate,BSCHC170431,Naxxar,House of Character,,,,3,2,224.00,,,925000
True,Ben Estate,BSAPT170429,Kappara,Apartment,,,,3,2,120.00,,,380000
True,Ben Estate,BSGFM170425,Zejtun,Ground Floor Maisonette,,,,1,1,50.00,,,286000
True,Ben Estate,BSFFM170421,Zejtun,First Floor Maisonette,,,,3,1,125.00,,,318000
True,Ben Estate,BSSBG170414,Fgura,Semi Basement Garage,,,,,,20.00,,,39500
True,Ben Estate,BSGFM170402,St. Pauls Bay,Ground Floor Maisonette,,,,1,1,70.00,,,250000
True,Ben Estate,BSTEH170386,Gozo - Nadur,Terraced House,,,,4,3,140.00,,,325000
True,Ben Estate,BSTEH170384,Gozo - Nadur,Terraced House,,,,3,3,120.00,,,305000
True,Ben Estate,BSTEH170382,Gozo - Nadur,Terraced House,,,,3,3,120.00,,,290000
True,Ben Estate,BSTEH170380,Gozo - Nadur,Terraced House,,,,3,3,125.00,,,285000
True,Ben Estate,BSTEH170378,Gozo - Nadur,Terraced House,,,,3,3,125.00,,,285000
True,Ben Estate,BSBOA170372,Floriana,Block of Apartments,,,,2,2,67.00,,,750000
True,Ben Estate,BSAPT170365,Dingli,Apartment,,,,2,2,83.00,,,254000
True,Ben Estate,BSAPT170363,Dingli,Apartment,,,,2,2,82.00,,,275000
True,Ben Estate,BSTWC170350,Cospicua,Town House,,,,3,4,190.00,,,395000
True,Ben Estate,BSTWC170348,Cospicua,Town House,,,,3,4,190.00,,,375000
True,Ben Estate,BSMSN170338,Zurrieq,Maisonette,,,,3,2,130.00,,,350000
True,Ben Estate,BSAPT170336,Fgura,Apartment,,,,3,1,125.00,,,265000
True,Ben Estate,BSSBG170334,Swieqi,Semi Basement Garage,,,,,,50.00,,,70000
True,Ben Estate,BSAPT170332,St. Julians,Apartment,,,,3,3,177.00,,,320000
True,Ben Estate,BSBGR170326,Siggiewi,Basement Garage,,,,,,15.69,,,40500
True,Ben Estate,BSBGR170324,Siggiewi,Basement Garage,,,,,,13.90,,,40500
True,Ben Estate,BSBGR170322,Siggiewi,Basement Garage,,,,,,13.87,,,40500
True,Ben Estate,BSBGR170320,Siggiewi,Basement Garage,,,,,,26.27,,,69000
True,Ben Estate,BSAPT170302,Msida,Apartment,,,,3,2,150.00,,,265000
True,Ben Estate,BSUTW170300,Qormi,Unconverted Town House,,,,2,3,120.00,,,235000
True,Ben Estate,BSSTR170298,Handaq,Warehouse,,,,1,,550.00,,,1271000
True,Ben Estate,BSPTH170292,Siggiewi,Penthouse,,,,1,1,74.00,,,286000
True,Ben Estate,BSUTW170288,Zejtun,Unconverted Town House,,,,3,2,320.00,,,650000
True,Ben Estate,BSPTH170283,Zejtun,Penthouse,,,,2,2,105.61,,,328000
True,Ben Estate,BSPTH170281,Zejtun,Penthouse,,,,2,2,94.91,,,317000
True,Ben Estate,BSAPT170279,Zejtun,Apartment,,,,3,3,122.75,,,244000
True,Ben Estate,BSAPT170277,Zejtun,Apartment,,,,2,2,113.50,,,233000
True,Ben Estate,BSAPT170275,Zejtun,Apartment,,,,3,3,122.75,,,238000
True,Ben Estate,BSAPT170273,Zejtun,Apartment,,,,2,2,113.50,,,228000
True,Ben Estate,BSAPT170271,Zejtun,Apartment,,,,3,4,119.19,,,285000
True,Ben Estate,BSAPT170269,Zejtun,Apartment,,,,2,2,113.50,,,223000
True,Ben Estate,BSGFM170267,Zejtun,Ground Floor Maisonette,,,,3,4,169.72,,,382000
True,Ben Estate,BSCOMM170265,Pieta,Commercial,,,,2,,287.00,,,920000
True,Ben Estate,BSEGFM170259,Mellieha,Elevated Ground Floor Maisonette,,,,,,154.00,,,510000
True,Ben Estate,BSAPT170257,Balzan,Apartment,,,,3,2,130.00,,,435000
True,Ben Estate,BSSLG170255,Birkirkara,Street Level Garage,,,,1,,66.00,,,286000
True,Ben Estate,BSOFF170253,Valletta,Offices,,,,,,870.00,,,3150000
True,Ben Estate,BSAPT170251,Msida,Apartment,,,,2,2,95.00,,,265000
True,Ben Estate,BSAPT170247,Sliema,Apartment,,,,3,2,125.00,,,1050000
True,Ben Estate,BSTWC170245,Santa Venera,Town House,,,,2,1,100.00,,,280000
True,Ben Estate,BSCFH170241,Mtahleb,Farmhouse,,,,,,90000.00,,,6400000
True,Ben Estate,BSGFM170239,Xemxija,Ground Floor Maisonette,,,,3,2,100.00,,,550000
True,Ben Estate,BSAPT170233,Siggiewi,Apartment,,,,3,2,127.00,,,315000
True,Ben Estate,BSAPT170231,Siggiewi,Apartment,,,,2,2,97.00,,,265000
True,Ben Estate,BSAPT170229,Siggiewi,Apartment,,,,2,2,97.00,,,260000
True,Ben Estate,BSAPT170227,Siggiewi,Apartment,,,,3,2,127.00,,,305000
True,Ben Estate,BSAPT170225,Siggiewi,Apartment,,,,2,2,97.00,,,255000
True,Ben Estate,BSAPT170219,Xemxija,Apartment,,,,2,1,80.00,,,225000
True,Ben Estate,BSSLG170212,Sliema,Street Level Garage,,,,,,132.00,,,265000
True,Ben Estate,BSEGFM170210,Fgura,Elevated Ground Floor Maisonette,,,,2,1,114.00,,,265000
True,Ben Estate,BSOFF170206,Valletta,Offices,,,,,,1609.58,,,12250000
True,Ben Estate,BSDPM170204,Msida,Duplex Maisonette,,,,2,1,95.00,,,265000
True,Ben Estate,BSCFH170202,Siggiewi,Farmhouse,,,,,,,,,1485000
True,Ben Estate,BSOFF170196,Gzira,Offices,,,,1,,85.00,,,260000
True,Ben Estate,BSGAR170194,Pembroke,Garage Space,,,,,,,,,38000
True,Ben Estate,BSAPT170192,Pembroke,Apartment,,,,3,2,107.50,,,420000
True,Ben Estate,BSAPT170190,Pembroke,Apartment,,,,3,2,107.50,,,390000
True,Ben Estate,BSEGFM170188,Pembroke,Elevated Ground Floor Maisonette,,,,3,2,100.00,,,375000
True,Ben Estate,BSAPT170186,Pembroke,Apartment,,,,3,2,108.20,,,380000
True,Ben Estate,BSAPT170184,Pembroke,Apartment,,,,3,2,94.90,,,370000
True,Ben Estate,BSC4C170182,Birkirkara,Commercial Class 4,,,,,,,,,P.O.R.
True,Ben Estate,BSBGR170180,Birkirkara,Basement Garage,,,,,,,,,P.O.R.
True,Ben Estate,BSBGR170178,Birkirkara,Basement Garage,,,,,,,,,P.O.R.
True,Ben Estate,BSBGR170176,Birkirkara,Basement Garage,,,,,,,,,P.O.R.
