Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Rooms,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
True,Dhalia,P000238430,Gwardamangia,Flats,,,,2,,,,,179000
True,Dhalia,P000238429,Gozo Fontana,Flats,,,,2,,,,,185000
True,Dhalia,P000238428,Gozo Xaghra,Flats,,,,3,,,,,275000
True,Dhalia,P000238427,Mellieha,Terraced House,,,,5,,,,,635000
True,Dhalia,P000238421,Gozo Fontana,House of Character,,,,3,,,,,410000
True,Dhalia,P000238420,Sliema,Flats,,,,3,,,,,350000
True,Dhalia,P000238419,San Gwann,Flats,,,,2,,,,,220000
True,Dhalia,P000238418,Hamrun,Flats,,,,3,,,,,190000
True,Dhalia,P000238417,Hamrun,Gr Floor Maisonette,,,,3,,,,,350000
True,Dhalia,P000238413,L-Iklin,Penthouse,,,,3,,,,,425000
True,Dhalia,P000238412,L-Iklin,Flats,,,,3,,,,,370000
True,Dhalia,P000238411,L-Iklin,Flats,,,,3,,,,,370000
True,Dhalia,P000238410,L-Iklin,Flats,,,,3,,,,,370000
True,Dhalia,P000238409,L-Iklin,Flats,,,,4,,,,,370000
True,Dhalia,P000238408,Naxxar,Penthouse,,,,2,,,,,583000
True,Dhalia,P000238407,Naxxar,Flats,,,,3,,,,,397000
True,Dhalia,P000238406,Naxxar,Flats,,,,3,,,,,386000
True,Dhalia,P000238405,Naxxar,Flats,,,,2,,,,,355000
True,Dhalia,P000238404,Naxxar,Maisonette,,,,2,,,,,370000
True,Dhalia,P000238403,Sliema,Flats,,,,3,,,,,430000
True,Dhalia,P000238402,Marsascala,Flats,,,,3,,,,,280000
True,Dhalia,P000238400,Mellieha,Penthouse,,,,,,,,,595000
True,Dhalia,P000238399,St Julians,Duplex Penthouse,,,,4,,,,,900000
True,Dhalia,P000238398,Zebbug,Townhouse,,,,3,,,,,2118000
True,Dhalia,P000238396,Tarxien,House of Character,,,,3,,,,,165000
True,Dhalia,P000238395,Zebbug,Townhouse,,,,4,,,,,1350000
True,Dhalia,P000238392,Gozo Marsalforn,Flats,,,,2,,,,,175000
True,Dhalia,P000238387,Zebbug,Townhouse,,,,4,,,,,1350000
True,Dhalia,P000238386,Marsaxlokk,Palazzo,,,,4,,,,,1650000
True,Dhalia,P000238384,Madliena,Penthouse,,,,3,,,,,1500000
True,Dhalia,P000238383,Gudja,House of Character,,,,3,,,,,850000
True,Dhalia,P000238380,L-Iklin,Semi-Det Bungalow,,,,3,,,,,1650000
True,Dhalia,P000238379,Rabat,Duplex Maisonette,,,,3,,,,,338000
True,Dhalia,P000238378,Gozo In-Nadur,Flats,,,,3,,,,,255000
True,Dhalia,P000238376,Gzira,Penthouse,,,,2,,,,,950000
True,Dhalia,P000238375,Gzira,Flats,,,,2,,,,,900000
True,Dhalia,P000238374,Gzira,Flats,,,,2,,,,,900000
True,Dhalia,P000238371,Gozo Il-Qala,Flats,,,,3,,,,,200000
True,Dhalia,P000238370,Gozo Il-Qala,Flats,,,,3,,,,,195000
True,Dhalia,P000238368,Gozo In-Nadur,Flats,,,,3,,,,,210000
True,Dhalia,P000238367,Zabbar,Penthouse,,,,1,,,,,250000
True,Dhalia,P000238366,Zabbar,Penthouse,,,,2,,,,,280000
True,Dhalia,P000238365,Zabbar,Flats,,,,2,,,,,210000
True,Dhalia,P000238364,Zabbar,Flats,,,,3,,,,,225000
True,Dhalia,P000238363,Zabbar,Flats,,,,2,,,,,210000
True,Dhalia,P000238362,Zabbar,Flats,,,,3,,,,,225000
True,Dhalia,P000238361,Zabbar,Flats,,,,2,,,,,230000
True,Dhalia,P000238360,Zabbar,Flats,,,,3,,,,,250000
True,Dhalia,P000238358,Xghajra,Flats,,,,2,,,,,217000
True,Dhalia,P000238357,Sliema,Flats,,,,3,,,,,850000
True,Dhalia,P000238354,Pieta,Maisonette,,,,3,,,,,250000
