Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Rooms,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
True,Frank Salt,714433,St Pauls Bay,Apartment,,,,2,1,,,,185000
True,Frank Salt,752169,Cospicua,Town House,,,,2,1,,,,195000
True,Frank Salt,714493,Bugibba,Apartment,,,,3,2,,,,225000
True,Frank Salt,714478,St Pauls Bay,Apartment,,,,3,2,,,,225000
True,Frank Salt,039798,St Julians,Apartment,,,,3,1,,,,239000
True,Frank Salt,752364,Cospicua,Maisonette,,,,5,5,,,,250000
True,Frank Salt,709480,St Pauls Bay,Apartment,,,,3,2,,,,290000
True,Frank Salt,423495,Qormi,Penthouse,,,,2,1,,,,298000
True,Frank Salt,425548,Zejtun,House of Character,,,,2,2,,,,345000
True,Frank Salt,039197,Zejtun,Town House,,,,2,1,,,,345000
True,Frank Salt,216216,Hamrun,Maisonette,,,,4,3,,,,365000
True,Frank Salt,425422,St. Angelo Mansions,Maisonette,,,,1,1,,,,365000
True,Frank Salt,216209,Zebbug,Maisonette,,,,3,2,,,,390000
True,Frank Salt,509550,Mellieha,Maisonette,,,,3,3,,,,430000
True,Frank Salt,425585,Fort Cambridge,Apartment,,,,1,1,,,,450000
True,Frank Salt,752433,Senglea,Palazzo,,,,4,1,,,,465000
True,Frank Salt,042794,Senglea,Maisonette,,,,3,2,,,,490000
True,Frank Salt,321399,Sliema,Apartment,,,,3,2,,,,500000
True,Frank Salt,036085,St. Angelo Mansions,Apartment,,,,3,2,,,,595000
True,Frank Salt,038445,Pender Gardens,Apartment,,,,2,2,,,,650000
True,Frank Salt,039573,Valletta,Maisonette,,,,3,3,,,,650000
True,Frank Salt,043074,Pender Gardens,Apartment,,,,3,2,,,,660000
True,Frank Salt,752574,St Pauls Bay,Apartment,,,,3,2,,,,685000
True,Frank Salt,039501,Valletta,Apartment,,,,2,2,,,,700000
True,Frank Salt,351773,Tal-Ibrag,Maisonette,,,,3,3,,,,720000
True,Frank Salt,424712,Siggiewi,House of Character,,,,3,2,,,,740000
True,Frank Salt,216197,Siggiewi,House of Character,,,,3,3,,,,745000
True,Frank Salt,915614,Swieqi,Penthouse,,,,3,3,,,,749000
True,Frank Salt,114123,Ghajnsielem,Apartment,,,,3,3,,,,795000
True,Frank Salt,029497,Valletta,Penthouse,,,,1,2,,,,795000
True,Frank Salt,320217,Zebbug,House of Character,,,,3,3,,,,820000
True,Frank Salt,424329,Mdina,Terraced House,,,,3,3,,,,850000
True,Frank Salt,752270,Vittoriosa,House of Character,,,,4,4,,,,850000
True,Frank Salt,916442,Cospicua,House of Character,,,,3,6,,,,950000
True,Frank Salt,425704,The Shoreline at Smart City,Apartment,,,,3,3,,,,950000
True,Frank Salt,040403,San Gwann,Villa,,,,3,3,,,,1000000
True,Frank Salt,916234,St Julians,Apartment,,,,2,2,,,,425000
True,Frank Salt,915251,Cospicua,Town House,,,,2,2,,,,430000
True,Frank Salt,114308,Xaghra,Terraced House,,,,3,2,,,,435000
True,Frank Salt,425705,Pembroke,Apartment,,,,3,2,,,,440000
True,Frank Salt,453282,Madliena,Apartment,,,,3,2,,,,450000
True,Frank Salt,511270,Tas Sellum,Apartment,,,,2,2,,,,460000
