Type,Town,Bedrooms,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Mean_Price,Rent_Min_Price,Rent_Max_Price,Rent_Mean_Price,Downpayment,Loan,Repayment_Year,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Year,Net_Rent_Monthly,CoC_Return,Down_Years,Prop_Years,Total_Years
Maisonette,Senglea,1.0,8,3,1.0,1.0,30.0,,0.0,,65000,185000,146937.5,1500,1500,1500.0,36734.38,110203.12,6328.73,527.39,75.0,75.0,150.0,8071.27,672.61,0.22,4.55,13.65,18.21
Apartment Duplex,Saint Julian's,4.0,3,3,4.0,3.0,114.0,0.0,23.0,0.0,320000,390000,366666.67,1450,6500,3350.0,91666.67,275000.0,15792.66,1316.06,167.5,167.5,335.0,16367.34,1363.94,0.18,5.6,16.8,22.4
Penthouse,Kalkara,3.0,12,4,2.0,2.0,104.5,,17.0,,303000,595000,350833.33,3000,3500,3125.0,87708.33,263125.0,15110.71,1259.23,156.25,156.25,312.5,14889.29,1240.77,0.17,5.89,17.67,23.56
House of Character,Birkirkara,3.0,12,13,2.0,2.5,160.0,0.0,20.0,0.0,250000,499000,405666.67,1300,6500,3450.0,101416.67,304250.0,17472.43,1456.04,172.5,172.5,345.0,15647.57,1303.96,0.15,6.48,19.44,25.93
Townhouse,Hamrun,2.0,23,4,1.0,1.5,108.0,0.0,6.0,0.0,185000,380000,261543.48,600,4000,2000.0,65385.87,196157.61,11264.91,938.74,100.0,100.0,200.0,7935.09,661.26,0.12,8.24,24.72,32.96
House of Character,Zebbug,4.0,8,4,2.0,3.5,200.0,0.0,20.0,0.0,350000,795000,605500.0,3500,5000,4375.0,151375.0,454125.0,26079.43,2173.29,218.75,218.75,437.5,15920.57,1326.71,0.11,9.51,28.52,38.03
Maisonette,Ta' Xbiex,3.0,4,8,2.0,2.0,118.0,0.0,0.0,0.0,210000,290000,238750.0,1200,3000,1750.0,59687.5,179062.5,10283.18,856.93,87.5,87.5,175.0,6516.82,543.07,0.11,9.16,27.48,36.64
Apartment,Ta' Xbiex,3.0,13,260,2.0,2.0,122.0,0.0,17.5,0.0,233000,780000,371769.23,550,6000,2408.97,92942.31,278826.92,16012.44,1334.37,120.45,120.45,240.9,7113.68,592.81,0.08,13.07,39.2,52.26
Townhouse,Hamrun,3.0,29,5,2.0,2.0,128.0,,18.0,,212000,675000,364724.14,600,4000,2160.0,91181.04,273543.1,15709.0,1309.08,108.0,108.0,216.0,5027.0,418.92,0.06,18.14,54.41,72.55
Apartment,Qormi,4.0,24,23,2.0,2.0,145.0,0.0,13.0,0.0,223200,297000,252425.0,1400,1800,1513.04,63106.25,189318.75,10872.17,906.01,75.65,75.65,151.3,3653.01,304.42,0.06,17.28,51.83,69.1
Apartment,Gozo - Zebbug,2.0,6,18,1.5,2.0,0.0,0.0,0.0,0.0,140000,230000,160666.67,500,2000,936.67,40166.67,120500.0,6920.06,576.67,46.83,46.83,93.67,2071.97,172.66,0.05,19.39,58.16,77.54
Apartment,Gzira,1.0,32,822,1.0,1.0,48.0,0.0,4.5,0.0,139000,185000,173000.0,45,2500,987.51,43250.0,129750.0,7451.27,620.94,49.38,49.38,98.75,2028.83,169.07,0.05,21.32,63.95,85.27
Apartment,Msida,4.0,3,41,2.0,2.0,,0.0,,0.0,180000,285000,228333.33,800,3000,1293.29,57083.33,171250.0,9834.52,819.54,64.66,64.66,129.33,2581.06,215.09,0.05,22.12,66.35,88.46
Penthouse,Saint Julian's,2.0,18,221,2.0,2.0,80.0,0.0,48.0,0.0,255000,520000,374444.44,85,6000,2035.23,93611.11,280833.33,16127.66,1343.97,101.76,101.76,203.52,3410.55,284.21,0.04,27.45,82.34,109.79
Apartment,Ta' Xbiex,2.0,34,95,2.0,2.0,87.0,0.0,4.0,0.0,205000,350000,253279.41,600,4000,1389.47,63319.85,189959.56,10908.97,909.08,69.47,69.47,138.95,2429.94,202.49,0.04,26.06,78.17,104.23
Penthouse Duplex,Sliema,3.0,15,24,3.0,3.0,134.0,0.0,30.0,0.0,440000,690000,609200.0,1400,8000,3137.5,152300.0,456900.0,26238.79,2186.57,156.88,156.88,313.75,3881.21,323.43,0.03,39.24,117.72,156.96
Apartment,Swatar,1.0,3,26,1.0,1.0,,0.0,,0.0,124000,150000,141000.0,600,1100,753.85,35250.0,105750.0,6073.0,506.08,37.69,37.69,75.39,1163.96,97.0,0.03,30.28,90.85,121.14
Apartment,Gozo - Zebbug,3.0,7,19,2.0,2.0,0.0,0.0,0.0,0.0,160000,175000,171000.0,450,2200,888.95,42750.0,128250.0,7365.12,613.76,44.45,44.45,88.9,1168.8,97.4,0.03,36.58,109.73,146.3
