Type,Province,Town,Bedrooms,Stage,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Median_Price,Rent_Min_Price,Rent_Max_Price,Rent_Median_Price,Downpayment,Loan,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Monthly,Net_Rent_Year,Total_Years,CoC_Return
Penthouse,South,Kalkara,3.0,Plan,7,8,2.0,2.0,102.0,75.5,17.0,1.0,319000.0,341000.0,320000.0,2500.0,3700.0,3000.0,32000.0,288000.0,1378.27,150.0,150.0,300.0,1021.73,12260.77,25.47,38.31
House of Character,Central,Birkirkara,3.0,Unclassified,5,21,2.0,2.0,167.5,250.0,35.0,50.0,250000.0,535000.0,340000.0,1300.0,6500.0,3000.0,34000.0,306000.0,1464.41,150.0,150.0,300.0,935.59,11227.07,27.06,33.02
Penthouse,South,Kalkara,3.0,Finished,7,8,2.0,2.0,163.0,75.5,137.0,1.0,303000.0,595000.0,346000.0,2500.0,3700.0,3000.0,34600.0,311400.0,1490.25,150.0,150.0,300.0,909.75,10916.96,27.54,31.55
Apartment,East,Ta' Xbiex,3.0,Furnished,4,332,2.0,2.0,114.0,125.0,6.0,20.0,276000.0,385000.0,309500.0,757.0,6000.0,2300.0,30950.0,278550.0,1333.04,115.0,115.0,230.0,506.96,6083.47,32.13,19.66
Apartment,East,Saint Julian's,3.0,Unclassified,313,1822,1.0,2.0,129.0,130.0,13.0,10.0,239000.0,599000.0,239000.0,700.0,7000.0,1750.0,23900.0,215100.0,1029.39,87.5,87.5,175.0,370.61,4447.26,32.61,18.61
House of Character,West,Zebbug,4.0,Furnished,5,11,2.0,1.0,206.0,,45.0,,350000.0,1200000.0,479000.0,1200.0,5000.0,3500.0,47900.0,431100.0,2063.1,175.0,175.0,350.0,736.9,8842.84,32.68,18.46
Penthouse,South,Paola,1.0,Finished,3,4,1.0,1.5,54.0,,22.0,,133000.0,213000.0,145000.0,750.0,1200.0,1000.0,14500.0,130500.0,624.53,50.0,50.0,100.0,175.47,2105.66,34.62,14.52
Apartment,East,Ta' Xbiex,3.0,Finished,3,332,2.0,2.0,,125.0,,20.0,280000.0,382000.0,335000.0,757.0,6000.0,2300.0,33500.0,301500.0,1442.88,115.0,115.0,230.0,397.12,4765.5,34.78,14.23
House of Character,Central,Birkirkara,3.0,Furnished,9,21,2.0,2.0,150.0,250.0,73.0,50.0,250000.0,499000.0,457000.0,1300.0,6500.0,3000.0,45700.0,411300.0,1968.34,150.0,150.0,300.0,431.66,5179.92,36.37,11.33
House of Character,South,Zejtun,3.0,Furnished,15,9,2.0,2.0,155.5,120.0,35.5,,235000.0,999000.0,480000.0,830.0,4200.0,3000.0,48000.0,432000.0,2067.4,150.0,150.0,300.0,332.6,3991.16,38.2,8.31
Townhouse,Central,Birkirkara,3.0,Unclassified,125,17,2.0,2.0,120.0,120.0,14.0,,225000.0,744000.0,225000.0,650.0,2500.0,1400.0,22500.0,202500.0,969.1,70.0,70.0,140.0,150.9,1810.86,38.37,8.05
House of Character,Central,Qormi,4.0,Furnished,5,4,2.0,2.0,475.0,,55.0,,295000.0,960000.0,370000.0,1600.0,2500.0,2300.0,37000.0,333000.0,1593.62,115.0,115.0,230.0,246.38,2956.52,38.41,7.99
Penthouse,South,Paola,1.0,Shell,8,4,1.0,1.5,60.0,,14.5,,128000.0,170000.0,162500.0,750.0,1200.0,1000.0,16250.0,146250.0,699.9,50.0,50.0,100.0,100.1,1201.17,38.8,7.39
Penthouse,South,Paola,1.0,Plan,4,4,2.0,1.5,54.0,,10.0,,160000.0,178000.0,167500.0,750.0,1200.0,1000.0,16750.0,150750.0,721.44,50.0,50.0,100.0,78.56,942.75,39.99,5.63
Apartment,East,Sliema,3.0,Shell,12,4558,2.0,2.0,77.5,145.0,17.0,15.0,280000.0,530000.0,312500.0,440.0,7000.0,1850.0,31250.0,281250.0,1345.97,92.5,92.5,185.0,134.03,1608.41,40.33,5.15
Apartment,Central,Qormi,4.0,Finished,10,32,3.0,2.0,137.0,210.0,13.0,20.0,230000.0,275000.0,255000.0,1100.0,2000.0,1500.0,25500.0,229500.0,1098.31,75.0,75.0,150.0,101.69,1220.3,40.59,4.79
Townhouse,South,Senglea,3.0,Unclassified,9,7,2.0,3.0,190.0,,18.0,,289000.0,550000.0,430000.0,1700.0,2900.0,2500.0,43000.0,387000.0,1852.05,125.0,125.0,250.0,147.95,1775.41,41.07,4.13
House of Character,South,Zejtun,3.0,Finished,7,9,3.0,2.0,93.0,120.0,12.0,,350000.0,980000.0,520000.0,830.0,4200.0,3000.0,52000.0,468000.0,2239.69,150.0,150.0,300.0,160.31,1923.76,41.39,3.7
Apartment,South,Paola,3.0,Shell,45,70,2.0,2.0,103.5,,8.0,,140000.0,285000.0,175000.0,650.0,2100.0,1000.0,17500.0,157500.0,753.74,50.0,50.0,100.0,46.26,555.11,41.78,3.17
Apartment,East,Ta' Xbiex,2.0,Shell,3,139,2.0,2.0,60.0,60.0,8.0,10.0,213000.0,215000.0,213000.0,1.0,4700.0,1200.0,21300.0,191700.0,917.41,60.0,60.0,120.0,42.59,511.08,42.38,2.4
Townhouse,South,Senglea,3.0,Furnished,13,7,2.0,3.0,115.0,,19.0,,266000.0,900000.0,445000.0,1700.0,2900.0,2500.0,44500.0,400500.0,1916.66,125.0,125.0,250.0,83.34,1000.14,42.5,2.25
Apartment,East,Sliema,4.0,Finished,5,298,2.0,3.0,,200.5,,10.0,395000.0,495000.0,450000.0,780.0,7000.0,2500.0,45000.0,405000.0,1938.19,125.0,125.0,250.0,61.81,741.71,42.98,1.65
