Type,Province,Town,Bedrooms,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
Guesthouse,East,Gzira,1.0,1,1.0,,,90000.0,90000.0,90000.0
Palazzino,East,Sliema,5.0,1,6.0,0.0,0.0,15000.0,15000.0,15000.0
Block of Apartments,East,Saint Julian's,19.0,1,19.0,,,15000.0,15000.0,15000.0
Block of Apartments,East,Pieta,24.0,1,24.0,,,15000.0,15000.0,15000.0
Block of Apartments,East,Sliema,1.0,1,1.0,,,14000.0,14000.0,14000.0
Block of Apartments,East,Gzira,15.0,1,15.0,,,14000.0,14000.0,14000.0
House of Character,East,Madliena,5.0,1,3.0,0.0,0.0,12000.0,12000.0,12000.0
Block of Apartments,East,Msida,1.0,1,,,,11700.0,11700.0,11700.0
Block of Apartments,South,Luqa,2.0,1,,,,10800.0,10800.0,10800.0
Block of Apartments,East,Swieqi,3.0,2,2.0,0.0,0.0,6000.0,14900.0,10450.0
Block of Apartments,Central,Lija,14.0,2,8.5,0.0,0.0,10000.0,10000.0,10000.0
House of Character,East,Saint Julian's,10.0,1,11.0,0.0,0.0,10000.0,10000.0,10000.0
Block of Apartments,Central,Mosta,3.0,1,,,,9600.0,9600.0,9600.0
Block of Apartments,East,San Gwann,12.0,1,12.0,,,9584.0,9584.0,9584.0
Block of Apartments,East,Swieqi,2.0,2,2.0,0.0,0.0,6000.0,12500.0,9250.0
Block of Apartments,East,Gzira,3.0,3,2.0,0.0,0.0,5400.0,10000.0,9000.0
Block of Apartments,East,Sliema,13.0,1,10.0,,,8500.0,8500.0,8500.0
Villa,Central,Mosta,8.0,1,6.0,,,8000.0,8000.0,8000.0
Villa,West,Bahrija,4.0,1,4.0,,,8000.0,8000.0,8000.0
Block of Apartments,East,Gzira,14.0,1,12.0,,,8000.0,8000.0,8000.0
Palazzo,West,Zebbug,5.0,1,4.0,0.0,0.0,8000.0,8000.0,8000.0
House of Character,West,Rabat,7.0,1,4.0,,,7500.0,7500.0,7500.0
Villa,East,Bahar Ic-Caghaq,3.0,4,3.5,0.0,0.0,4200.0,8000.0,7500.0
Block of Apartments,East,Saint Julian's,2.0,3,1.0,0.0,0.0,1500.0,7500.0,7500.0
Villa,South,Marsaskala,6.0,1,4.0,0.0,0.0,7500.0,7500.0,7500.0
Villa,South,Marsaskala,5.0,1,4.0,,,7500.0,7500.0,7500.0
Palazzo,Central,Balzan,6.0,1,2.0,,,7500.0,7500.0,7500.0
Palazzo,Central,Attard,4.0,3,5.0,,,5000.0,8000.0,7500.0
Block of Apartments,South,Birzebbuga,2.0,1,2.0,0.0,0.0,7500.0,7500.0,7500.0
Room,Central,Birkirkara,36.0,1,8.0,,,7350.0,7350.0,7350.0
House of Character,Central,Iklin,3.0,1,9.0,0.0,0.0,7000.0,7000.0,7000.0
Villa,Central,Attard,7.0,1,6.0,,,7000.0,7000.0,7000.0
Villa,West,Siggiewi,3.0,1,5.0,0.0,0.0,7000.0,7000.0,7000.0
Guesthouse,East,Gzira,10.0,1,10.0,,,7000.0,7000.0,7000.0
Villa,West,Siggiewi,4.0,1,2.0,,,7000.0,7000.0,7000.0
Villa,South,Kalkara,3.0,1,3.0,,,7000.0,7000.0,7000.0
Guesthouse,South,Birzebbuga,12.0,1,12.0,,,6900.0,6900.0,6900.0
Block of Apartments,East,Gzira,12.0,2,12.0,0.0,0.0,6000.0,7800.0,6900.0
Block of Apartments,East,Saint Julian's,9.0,1,9.0,,,6800.0,6800.0,6800.0
Penthouse,East,Ta' Xbiex,7.0,1,6.0,,,6500.0,6500.0,6500.0
Block of Apartments,East,Sliema,2.0,5,2.0,0.0,0.0,1000.0,16500.0,6500.0
House of Character,Central,Attard,5.0,4,5.0,0.0,0.0,6000.0,6500.0,6500.0
Villa,East,Kappara,6.0,1,4.0,0.0,0.0,6500.0,6500.0,6500.0
Guesthouse,East,Swieqi,11.0,1,13.0,,,6500.0,6500.0,6500.0
House of Character,East,Gharghur,5.0,3,4.0,0.0,0.0,2500.0,6900.0,6400.0
Palazzo,South,Zejtun,4.0,2,5.5,0.0,0.0,6200.0,6500.0,6350.0
Villa,Central,Naxxar,5.0,2,4.5,,,5500.0,7000.0,6250.0
Villa,Central,Iklin,4.0,2,4.0,,,6000.0,6500.0,6250.0
Villa,North,Mellieha,5.0,8,4.0,0.0,0.0,3400.0,7500.0,6150.0
Block of Apartments,East,Gzira,11.0,2,10.0,0.0,0.0,4500.0,7800.0,6150.0
Block of Apartments,East,Sliema,9.0,1,6.0,,,6000.0,6000.0,6000.0
House of Character,East,Gharghur,7.0,2,6.0,,,5500.0,6500.0,6000.0
House of Character,Central,Lija,5.0,5,4.5,500.0,961.0,6000.0,7500.0,6000.0
House of Character,Central,Balzan,4.0,2,4.0,0.0,0.0,5500.0,6500.0,6000.0
Palazzo,Central,Naxxar,3.0,1,6.0,,,6000.0,6000.0,6000.0
Bungalow,Central,Iklin,4.0,3,3.0,0.0,0.0,2750.0,6000.0,6000.0
Villa Semi-Detached,Central,Naxxar,4.0,5,3.0,0.0,0.0,2100.0,6000.0,6000.0
Villa Semi-Detached,Central,Iklin,3.0,2,2.0,,,6000.0,6000.0,6000.0
House of Character,West,Zebbug,6.0,1,,,,6000.0,6000.0,6000.0
House of Character,South,Kalkara,3.0,1,3.0,200.0,1500.0,6000.0,6000.0,6000.0
Villa Semi-Detached,Central,Lija,4.0,2,5.5,550.0,0.0,5500.0,6000.0,5750.0
Villa,Central,Iklin,5.0,2,3.0,,,5000.0,6500.0,5750.0
Villa Semi-Detached,East,Swieqi,7.0,1,5.0,0.0,0.0,5500.0,5500.0,5500.0
Bungalow,East,Madliena,6.0,1,5.0,,,5500.0,5500.0,5500.0
Villa,South,Kalkara,4.0,1,4.0,,,5500.0,5500.0,5500.0
Villa,Central,Lija,3.0,1,3.0,,,5500.0,5500.0,5500.0
House of Character,East,Msida,4.0,1,4.0,0.0,0.0,5500.0,5500.0,5500.0
House of Character,East,Gharghur,6.0,2,5.5,0.0,0.0,5500.0,5500.0,5500.0
Block of Apartments,East,Saint Julian's,14.0,1,15.0,,,5500.0,5500.0,5500.0
