Type,Province,Town,Bedrooms,Stage,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
Villa,East,Madliena,5.0,Finished,4,5.0,,,3500000.0,4800000.0,4500000.0
Villa,East,Madliena,4.0,Finished,2,5.0,340.0,195.0,2900000.0,5000000.0,3950000.0
Villa,East,Madliena,4.0,Furnished,5,4.0,,,2600000.0,5500000.0,3720500.0
Bungalow,North,Mellieha,3.0,Finished,3,4.0,318.0,693.0,3000000.0,3720000.0,3718000.0
Villa,East,Bahar Ic-Caghaq,4.0,Furnished,2,4.0,450.0,,3350000.0,3900000.0,3625000.0
Villa,East,Bahar Ic-Caghaq,3.0,Furnished,3,4.0,,,3300000.0,3700000.0,3600000.0
Villa,East,Swieqi,4.0,Shell,2,6.5,1679.0,847.0,3498000.0,3700000.0,3599000.0
Bungalow,East,Madliena,3.0,Furnished,2,4.0,850.0,350.0,3500000.0,3500000.0,3500000.0
Bungalow,East,Bahar Ic-Caghaq,4.0,Unclassified,2,3.5,407.5,985.0,3400000.0,3400000.0,3400000.0
Bungalow,East,Bahar Ic-Caghaq,4.0,Furnished,2,2.5,,,3400000.0,3400000.0,3400000.0
Farmhouse,East,Swieqi,3.0,Furnished,2,3.0,,,3300000.0,3300000.0,3300000.0
Villa,Central,Naxxar,5.0,Furnished,3,8.0,,,3200000.0,3300000.0,3300000.0
Bungalow,North,Mellieha,4.0,Furnished,4,4.0,690.0,1200.0,2100000.0,4000000.0,3275000.0
Bungalow,East,Bahar Ic-Caghaq,3.0,Unclassified,2,2.5,330.0,1100.0,3000000.0,3400000.0,3200000.0
Villa,East,Madliena,3.0,Shell,4,5.0,742.0,299.0,2200000.0,3400000.0,3150000.0
Farmhouse,South,Zurrieq,4.0,Unclassified,2,1.5,1800.0,10860.0,2120000.0,3650000.0,2885000.0
Villa,East,Ta' Xbiex,3.0,Furnished,3,3.0,324.0,216.0,2150000.0,2800000.0,2650000.0
Villa,North,Mellieha,5.0,Unclassified,3,5.0,1560.0,,2150000.0,4900000.0,2490000.0
Villa,North,Mellieha,5.0,Finished,2,5.0,,,2050000.0,2900000.0,2475000.0
Villa,East,Ta' Xbiex,5.0,Furnished,4,4.5,498.0,160.0,2150000.0,2800000.0,2475000.0
