Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Rooms,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
True,Sara Grech,W-02PZ1D,Luqa,Plot,,,,,,950,,,2250000
True,Sara Grech,W-02PZ1G,Luqa,Plot,,,,,,570,,,1350000
True,Sara Grech,W-02ME43,St.Pauls Bay,Penthouse,,,,3,2,3,,,480000
True,Sara Grech,W-02I3FU,St.Pauls Bay,Apartment,,,,3,3,3,,,585000
True,Sara Grech,W-02ORO5,St.Pauls Bay,Penthouse,,,,3,3,3,,,650000
True,Sara Grech,W-02OWNJ,Valletta,Apartment,,,,3,2,3,,,590000
True,Sara Grech,SBG446673,Lija,Bungalow,,,,3,3,355,,,1290000
True,Sara Grech,SM446763,Xemxija,Maisonette,,,,2,1,70,,,270000
True,Sara Grech,W-02PYQD,Senglea,House of Character,,,,2,2,50,,,325000
True,Sara Grech,W-02P1M2,Senglea,Townhouse,,,,2,2,2,,,600000
True,Sara Grech,W-02QA23,Qawra,Apartment,,,,3,2,3,,,390000
True,Sara Grech,W-02KYO4,Ibrag,Plot,,,,,,447,,,1450000
True,Sara Grech,W-02KYOL,Ibrag,Plot,,,,,,480,,,1550000
True,Sara Grech,W-02L25S,B'Kara,Airspace,,,,,,275,,,530000
True,Sara Grech,W-02LSF5,Qawra,Penthouse,,,,2,2,2,,,390000
True,Sara Grech,W-02O26Y,Dingli,Plot,,,,,,335,,,150000
True,Sara Grech,W-02O2RG,Dingli,Plot,,,,,,335,,,150000
True,Sara Grech,W-02P6TV,Zurrieq,Plot,,,,,,"16,742",,,1575000
True,Sara Grech,W-02P5V5,Rabat,Plot,,,,,,155,,,600000
True,Sara Grech,W-02ML4P,Townhouse,,,,,5,5,110,,,370000
True,Sara Grech,SDVI447589,San Pawl Tat-Targa,Detached Villa,,,,3,4,275,,,1100000
True,Sara Grech,SA447594,St.Julians,Apartment,,,,2,2,110,,,785000
True,Sara Grech,SA446510,Sliema,Apartment,,,,3,3,240,,,1275000
True,Sara Grech,W-02MQOH,Qormi,Penthouse,,,,2,2,120,,,305000
True,Sara Grech,W-01D3VT,M'Xlokk,Private Maisonette,,,,2,1,2,,,300000
True,Sara Grech,W-02P7YO,Zejtun,Townhouse,,,,3,4,100,,,690000
True,Sara Grech,W-02PVPN,Bugibba,Private Maisonette,,,,2,2,2,,,265000
True,Sara Grech,W-01D7VM,Sliema,Apartment,,,,2,2,194,,,1390000
True,Sara Grech,W-02OAUD,Sliema,Apartment,,,,2,2,2,,,1050000
True,Sara Grech,W-02OC8N,Sliema,Apartment,,,,4,4,4,,,2285000
True,Sara Grech,W-02OCB9,Sliema,Apartment,,,,3,3,239,,,1915000
True,Sara Grech,W-02QA21,Madliena,Apartment,,,,3,3,3,,,825000
True,Sara Grech,W-01KVM3,St.Julians,Apartment,,,,3,2,3,,,600000
True,Sara Grech,W-02KVAT,Zejtun,Maisonette,,,,3,3,3,,,350000
True,Sara Grech,W-02N7A1,Zejtun,Townhouse,,,,3,2,3,,,750000
True,Sara Grech,W-02NYNJ,Zejtun,Terraced House,,,,3,2,234,,,635000
True,Sara Grech,W-02NSQF,M'Scala,Terraced House,,,,3,2,3,,,700000
True,Sara Grech,W-02OGK2,Zabbar,Terraced House,,,,3,4,430,,,855000
True,Sara Grech,W-02P13X,Zabbar,Townhouse,,,,4,2,700,,,1500000
