,Town
St Julian's,1907
Marsascala,1108
St Paul's Bay,1092
Zabbar,463
Zebbug,435
Ta' l-Ibragg,434
Pieta,329
Santa Venera,320
Swatar,319
St.Julians,304
Gharghur,276
Madliena,218
Kappara,214
Portomaso,205
Paola,204
Fort Cambridge,199
Xemxija,194
Ghaxaq,186
Bahar Ic-Caghaq,181
Luqa,154
Iklin,148
Tigne Point,138
Xghajra,120
Pender Place,118
Ibrag,108
San Pawl tat Targa,106
Burmarrad,103
Guardamangia,97
Dingli,83
Vittoriosa,82
St Julians,81
Gozo - Zebbug,75
Marsa,71
Zebbiegh,66
Mqabba,58
Safi,55
Manikata,54
Gozo - Kercem,53
Santa Maria Estate,52
Gozo Marsalforn,50
Wardija,47
B'Kara,41
Kirkop,39
Gozo Ir-Rabat,39
The Shoreline,37
Gozo Xaghra,37
Gozo - Ghasri,37
The Village,35
Salina,34
Bahrija,34
St.Pauls Bay,33
Gozo Il-Qala,29
Gozo Ghajnsielem,29
Ta' Giorni,29
Bahar Ic Caghaq,29
Gozo In-Nadur,29
Bidnija,28
Birguma,28
M'Scala,28
Gozo Ix-Xewkija,27
Mtarfa,24
San Pawl Tat-Targa,23
Ta'Xbiex,20
Fleur De Lys,19
Gozo - Santa Lucija,16
Victoria Gardens,16
Mriehel,15
L-Iklin,14
High Ridge,13
Gozo Iz-Zebbug,13
Bahar ic-Caghaq,12
Gozo Kercem,12
Gozo Xlendi,12
Mtahleb,12
Gozo L-Gharb,12
The Gardens,12
Mensija,11
Gozo - Fort Chambray,11
Gozo Fontana,11
G'Mangia,11
Ta'L-ibrag,9
St.Venera,9
Buskett,8
B'Bugia,8
Msida University Heights,7
Ta' Paris,7
M'Xlokk,6
Handaq,6
Santa Lucia,6
Townhouse,5
St Andrew's,5
Ghadira,5
Gharb,4
Gozo San Lawrenz,4
Penthouse,4
House of Character,4
Il-Kortin,4
Gozo L-Ghasri,4
Sannat,3
Ta Monita Residence,3
Ghasri,3
Maghtab,3
Blata l' Bajda,2
Xaghra (Gozo),2
Gwardamangia,2
Bingemma,2
Monterosa Gardens,2
Benghajsa,1
Apartment,1
Residential Garage,1
Plot,1
Ghajnsielem,1
Selmun,1
Ghajn Tuffieha,1
Bir id-deheb,1
San Lawrenz,1
Ta' Zwejt,1
Ta' Qali,1
Palazzo,1
Kercem,1
Villa,1
Blata il-Bajda,1
Gozo Il-Munxar,1
Xewkija,1
Fleur de Lys,1
Mgarr (Gozo),1
St Andrews,1
Hal-Far,1
Mistra,1
