,Type
Apartment,56337
Penthouse,10505
Maisonette,6288
Townhouse,2495
House of Character,1872
Terraced House,1138
Villa,678
Penthouse Duplex,580
Villa Semi-Detached,499
Farmhouse,442
Maisonette Duplex,432
Apartment Duplex,412
Bungalow,271
Room,169
Block of Apartments,166
Palazzo,110
Townhouse Unconverted,82
Site,54
Bungalow Semi-Detached,48
House of Character Unconverted,47
Plot with Permit,44
Guesthouse,43
Maisonette Semi-Detached,42
Catering Establishments,40
Palazzino,24
Plot,14
Corner Terraced House,10
Airspace,9
Farmhouse Unconverted,8
Penthouse Semi-Detached,7
Cottage,6
Maisonette Triplex,6
Palazzo Unconverted,3
House of Character Semi-Converted,2
Townhouse Semi-Converted,2
Agriculture Land,1
