Is_Sale,Source,Reference,Town,PropertyType,Latitude,Longitude,TotalRooms,TotalBedrooms,TotalBathrooms,TotalSqm,TotalIntArea,TotalExtArea,Price,Province
True,Remax,240061136-570,Birzebbuga,Penthouse,35.8238,14.50649,5.0,2.0,2.0,190.0,90.0,100.0,282000,Southern
True,Remax,240061136-565,Zabbar,Apartment,35.87442,14.537,6.0,3.0,2.0,103.0,98.0,5.0,210000,South Eastern
True,Remax,240031035-873,Gozo - Xaghra,Apartment,36.05168,14.26752,5.0,2.0,1.0,88.0,81.0,8.0,225000,Gozo
True,Remax,240331016-144,Birkirkara,Townhouse,35.89574,14.45658,8.0,3.0,3.0,210.0,145.0,65.0,795000,Central
True,Remax,240091086-190,St Paul's Bay,Penthouse,35.93579,14.38177,5.0,1.0,1.0,108.0,72.0,36.0,267000,Northern
True,Remax,240061136-540,Cospicua,House of Character,35.88106,14.51644,7.0,2.0,2.0,70.0,65.0,5.0,220000,South Eastern
True,Remax,240081117-102,St Paul's Bay,Apartment,35.93579,14.38177,6.0,3.0,2.0,165.0,125.0,40.0,450000,Northern
True,Remax,240011138-32,Qormi,Townhouse,35.87667,14.45933,10.0,3.0,4.0,164.0,120.0,44.0,500000,Southern
True,Remax,240331005-146,St Paul's Bay,Apartment,35.93579,14.38177,7.0,2.0,2.0,107.0,95.0,12.0,192000,Northern
True,Remax,240461019-10,Msida,Apartment,35.89782,14.47937,7.0,3.0,2.0,95.0,91.0,4.0,275000,Central
True,Remax,240061136-509,Zabbar,Maisonette,35.87442,14.537,5.0,2.0,2.0,112.0,90.0,22.0,264000,South Eastern
True,Remax,240461004-106,Fgura,Apartment,35.87281,14.51684,5.0,2.0,1.0,127.0,107.0,20.0,230000,South Eastern
True,Remax,240331016-145,Qormi,House of Character,35.87667,14.45933,12.0,5.0,4.0,300.0,242.0,58.0,680000,Southern
True,Remax,240351002-912,St Julian's,Apartment,35.91986,14.48087,6.0,2.0,2.0,246.0,206.0,40.0,1750000,Central
True,Remax,240091086-185,St Paul's Bay,Apartment,35.93579,14.38177,7.0,2.0,3.0,129.0,100.0,29.0,249000,Northern
True,Remax,240091086-183,St Paul's Bay,Apartment,35.93579,14.38177,7.0,2.0,3.0,129.0,100.0,29.0,249000,Northern
True,Remax,240021110-42,St Julian's,Apartment,35.91986,14.48087,9.0,3.0,3.0,152.0,141.0,11.0,780000,Central
True,Remax,240221044-119,Luqa,Apartment,35.85177,14.46828,6.0,3.0,2.0,138.0,132.0,7.0,270000,Southern
True,Remax,240081033-201,San Gwann,Penthouse,35.90863,14.47988,5.0,2.0,2.0,110.0,85.0,25.0,324000,Central
True,Remax,240091044-298,Ta' Xbiex,Apartment,35.89926,14.49362,7.0,3.0,2.0,119.0,114.0,5.0,320000,Central
True,Remax,240311009-171,Qormi,Maisonette,35.87667,14.45933,7.0,3.0,1.0,110.0,94.0,16.0,225000,Southern
True,Remax,240231047-9,Gudja,Terraced House,35.84674,14.49962,10.0,3.0,2.0,258.0,181.0,77.0,558000,Southern
True,Remax,240231042-249,Birzebbuga,Apartment,35.8238,14.50649,7.0,3.0,2.0,122.0,97.0,25.0,430000,Southern
True,Remax,240081117-82,Ghaxaq,Maisonette Duplex,35.84683,14.50594,7.0,3.0,2.0,137.0,113.0,46.0,365000,Southern
True,Remax,240231051-7,Qrendi,Apartment,35.83077,14.4414,7.0,3.0,2.0,142.0,130.0,12.0,299000,Southern
True,Remax,240251083-217,Mosta,Apartment,35.91184,14.41168,7.0,3.0,2.0,183.0,155.0,28.0,430000,Northern
True,Remax,240461012-69,Birkirkara,Townhouse,35.89574,14.45658,9.0,2.0,2.0,105.0,90.0,15.0,349000,Central
True,Remax,240061151-3,Balzan,Apartment,35.89738,14.44741,6.0,3.0,1.0,155.0,155.0,0.0,240000,Central
