PropertyType,Town,TotalBedrooms,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Mean_Price,Rent_Min_Price,Rent_Max_Price,Rent_Mean_Price,Downpayment,Repayment_Year,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Year,Net_Rent_Monthly,CoC_Return
Flats,Hamrun,4.0,2,2,,,,,,,228000,239000,233500.0,228000,239000,233500.0,58375.0,3352.35,279.36,11675.0,11675.0,23350.0,2238247.65,186520.64,38.34
Penthouse,Gozo Sannat,2.0,3,3,,,,,,,155000,320000,211666.67,155000,320000,211666.67,52916.67,3038.89,253.24,10583.33,10583.33,21166.67,2028961.14,169080.1,38.34
Flats,Zurrieq,2.0,6,6,,,,,,,215000,255000,234166.67,215000,255000,234166.67,58541.67,3361.92,280.16,11708.33,11708.33,23416.67,2244638.11,187053.18,38.34
Flats,Zejtun,3.0,3,3,,,,,,,245000,300000,265000.0,245000,300000,265000.0,66250.0,3804.6,317.05,13250.0,13250.0,26500.0,2540195.4,211682.95,38.34
Flats,Zabbar,2.0,5,5,,,,,,,210000,230000,216000.0,210000,230000,216000.0,54000.0,3101.11,258.43,10800.0,10800.0,21600.0,2070498.89,172541.57,38.34
Penthouse,Gozo Ix-Xewkija,2.0,2,2,,,,,,,180000,313000,246500.0,180000,313000,246500.0,61625.0,3538.99,294.92,12325.0,12325.0,24650.0,2362861.01,196905.08,38.34
Flats,Gozo Xaghra,2.0,2,2,,,,,,,157000,187000,172000.0,157000,187000,172000.0,43000.0,2469.4,205.78,8600.0,8600.0,17200.0,1648730.6,137394.22,38.34
Flats,Ta'Xbiex,2.0,2,2,,,,,,,245000,250000,247500.0,245000,250000,247500.0,61875.0,3553.35,296.11,12375.0,12375.0,24750.0,2372446.65,197703.89,38.34
Flats,Ta'Xbiex,1.0,2,2,,,,,,,198000,198000,198000.0,198000,198000,198000.0,49500.0,2842.68,236.89,9900.0,9900.0,19800.0,1897957.32,158163.11,38.34
Flats,Gozo Xaghra,3.0,2,2,,,,,,,200000,280000,240000.0,200000,280000,240000.0,60000.0,3445.67,287.14,12000.0,12000.0,24000.0,2300554.33,191712.86,38.34
Flats,Gudja,2.0,3,3,,,,,,,234000,270000,247833.33,234000,270000,247833.33,61958.33,3558.14,296.51,12391.67,12391.67,24783.33,2375641.83,197970.15,38.34
Flats,Santa Venera,3.0,2,2,,,,,,,210000,210000,210000.0,210000,210000,210000.0,52500.0,3014.96,251.25,10500.0,10500.0,21000.0,2012985.04,167748.75,38.34
Flats,Santa Venera,2.0,15,15,,,,,,,160000,255000,229933.33,160000,255000,229933.33,57483.33,3301.15,275.1,11496.67,11496.67,22993.33,2204058.82,183671.57,38.34
Flats,San Gwann,2.0,2,2,,,,,,,220000,245000,232500.0,220000,245000,232500.0,58125.0,3338.0,278.17,11625.0,11625.0,23250.0,2228662.0,185721.83,38.34
Flats,Gudja,3.0,5,5,,,,,,,235000,265000,250400.0,235000,265000,250400.0,62600.0,3594.98,299.58,12520.0,12520.0,25040.0,2400245.02,200020.42,38.34
Flats,Gozo Sannat,2.0,5,5,,,,,,,120000,280000,186800.0,120000,280000,186800.0,46700.0,2681.88,223.49,9340.0,9340.0,18680.0,1790598.12,149216.51,38.34
Flats,Qrendi,3.0,2,2,,,,,,,282000,300000,291000.0,282000,300000,291000.0,72750.0,4177.88,348.16,14550.0,14550.0,29100.0,2789422.12,232451.84,38.34
Flats,Hamrun,2.0,2,2,,,,,,,180000,196000,188000.0,180000,196000,188000.0,47000.0,2699.11,224.93,9400.0,9400.0,18800.0,1802100.89,150175.07,38.34
Flats,Marsascala,2.0,10,10,,,,,,,205000,280000,259000.0,205000,280000,259000.0,64750.0,3718.45,309.87,12950.0,12950.0,25900.0,2482681.55,206890.13,38.34
Flats,Marsaxlokk,2.0,4,4,,,,,,,220000,225000,223750.0,220000,225000,223750.0,55937.5,3212.37,267.7,11187.5,11187.5,22375.0,2144787.63,178732.3,38.34
Flats,Mosta,2.0,4,4,,,,,,,225000,260000,247500.0,225000,260000,247500.0,61875.0,3553.35,296.11,12375.0,12375.0,24750.0,2372446.65,197703.89,38.34
Flats,Qormi,4.0,3,3,,,,,,,255000,275000,265000.0,255000,275000,265000.0,66250.0,3804.6,317.05,13250.0,13250.0,26500.0,2540195.4,211682.95,38.34
Flats,Msida,2.0,5,5,,,,,,,157000,220000,179600.0,157000,220000,179600.0,44900.0,2578.51,214.88,8980.0,8980.0,17960.0,1721581.49,143465.12,38.34
Flats,Qormi,3.0,14,14,,,,,,,202000,328000,247642.86,202000,328000,247642.86,61910.72,3555.4,296.28,12382.14,12382.14,24764.29,2373816.06,197818.0,38.34
Flats,Paola,1.0,7,7,,,,,,,150000,150000,150000.0,150000,150000,150000.0,37500.0,2153.55,179.46,7500.0,7500.0,15000.0,1437846.45,119820.54,38.34
Flats,Pieta,2.0,2,2,,,,,,,204000,241000,222500.0,204000,241000,222500.0,55625.0,3194.43,266.2,11125.0,11125.0,22250.0,2132805.57,177733.8,38.34
Flats,Pieta,3.0,2,2,,,,,,,220000,290000,255000.0,220000,290000,255000.0,63750.0,3661.03,305.09,12750.0,12750.0,25500.0,2444338.97,203694.91,38.34
Flats,Qormi,2.0,2,2,,,,,,,192000,192000,192000.0,192000,192000,192000.0,48000.0,2756.54,229.71,9600.0,9600.0,19200.0,1840443.46,153370.29,38.34
