Is_Sale,Source,Reference,Town,Type,Stage,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
True,Belair,504988,Msida,Ground Floor Maisonette,Unclassified,1,1,80,,,185000
True,Belair,307617,"Kalkara, Shoreline",Apartment,Plan,1,1,62,,,280000
True,Belair,307621,"Kalkara, Shoreline",Apartment,Plan,1,1,69,,,285000
True,Belair,307950,Mosta,Apartment,Finished,3,2,140,,,289000
True,Belair,307618,"Kalkara, Shoreline",Apartment,Plan,1,1,62,,,290000
True,Belair,307622,"Kalkara, Shoreline",Apartment,Plan,1,1,69,,,295000
True,Belair,307619,"Kalkara, Shoreline",Apartment,Plan,1,1,62,,,300000
True,Belair,307623,"Kalkara, Shoreline",Apartment,Plan,1,1,69,,,305000
True,Belair,803277,Balzan,Penthouse,Unclassified,2,2,135,,,310000
True,Belair,307620,"Kalkara, Shoreline",Apartment,Plan,1,1,62,,,310000
True,Belair,307624,"Kalkara, Shoreline",Apartment,Plan,1,1,69,,,315000
True,Belair,505324,Bahar Ic-Caghaq,Apartment,Unclassified,3,2,150,,,340000
True,Belair,505533,Sliema,Apartment,Unclassified,2,1,94,,,350000
True,Belair,505497,Kappara,Apartment,Unclassified,3,2,120,,,370000
True,Belair,504972,Pieta,Penthouse,Plan,1,1,90,,,415000
True,Belair,307736,Bahar Ic-Caghaq,Duplex Penthouse,Plan,3,3,154,,,485000
True,Belair,702056,St Julians,Duplex Penthouse,Finished,3,2,240,,,1250000
True,Belair,504783,Swieqi,Penthouse,Furnished,3,3,320,,,1300000
True,Belair,701849,Ibrag,Within Development Zone (DZ),Unclassified,4,0,530,,,1350000
True,Belair,701850,Ibrag,Within Development Zone (DZ),Unclassified,4,0,590,,,1480000
True,Belair,505234,Ibrag,Semi-detached Villa,Shell,4,5,530,,,1800000
True,Belair,505235,Ibrag,Semi-detached Villa,Shell,4,5,590,,,1950000
True,Belair,702043,Madliena,Semi-detached Villa,Furnished,3,4,598,,,2600000
True,Belair,800951,St Pauls Bay,Apartment,Finished,2,1,65,,,165000
