Is_Sale,Source,Reference,Town,Type,Stage,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
True,Ben Estate,BSTEH173313,Ibragg,Terraced House,Unclassified,3,3,155.00,260.00,25.00,745000
True,Ben Estate,BSGFM173255,Birkirkara,Ground Floor Maisonette,Unclassified,3,2,125.00,110.00,15.00,271000
True,Ben Estate,BSSDUM173253,St. Pauls Bay,Solitary Duplex Maisonette,Unclassified,3,2,145.00,140.00,5.00,235000
True,Ben Estate,BSPTH173251,Birkirkara,Penthouse,Unclassified,2,2,114.00,94.00,134.00,P.O.R.
True,Ben Estate,BSAPT173249,Birkirkara,Apartment,Unclassified,3,2,126.00,119.00,7.00,P.O.R.
True,Ben Estate,BSAPT173247,Birkirkara,Apartment,Unclassified,2,1,100.00,87.00,13.00,P.O.R.
True,Ben Estate,BSAPT173245,Birkirkara,Apartment,Unclassified,3,2,126.00,119.00,7.00,P.O.R.
True,Ben Estate,BSAPT173243,Birkirkara,Apartment,Unclassified,3,2,126.00,119.00,7.00,P.O.R.
True,Ben Estate,BSGFM173241,Birkirkara,Ground Floor Maisonette,Unclassified,2,1,100.00,87.00,13.00,P.O.R.
True,Ben Estate,BSPTH173231,Mosta,Penthouse,Unclassified,1,2,1000.00,69.72,23.90,238000
True,Ben Estate,BSPTH173229,Mosta,Penthouse,Unclassified,3,2,1000.00,136.55,118.83,649000
True,Ben Estate,BSPTH173227,Mosta,Penthouse,Unclassified,3,2,1000.00,113.00,29.00,459000
True,Ben Estate,BSPTH173224,Mosta,Penthouse,Unclassified,2,2,1000.00,105.75,135.00,601000
True,Ben Estate,BSPTH173222,Mosta,Penthouse,Unclassified,2,2,1000.00,98.46,50.00,447000
True,Ben Estate,BSPTH173220,Mosta,Penthouse,Unclassified,2,2,1000.00,108.00,160.00,607000
True,Ben Estate,BSAPT173218,Mosta,Apartment,Unclassified,1,1,1000.00,104.00,9.00,270000
True,Ben Estate,BSAPT173216,Mosta,Apartment,Unclassified,1,1,1000.00,70.00,3.00,196000
True,Ben Estate,BSAPT173214,Mosta,Apartment,Unclassified,1,1,1000.00,65.00,,195000
True,Ben Estate,BSAPT173212,Mosta,Apartment,Unclassified,1,1,1000.00,69.00,7.00,190000
True,Ben Estate,BSGFM173210,Mosta,Ground Floor Maisonette,Unclassified,1,1,1000.00,81.00,24.00,205000
