Is_Sale,Source,Reference,Town,Type,Stage,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
True,Dhalia,P000238804,St Paul's Bay,Flats,Finished,3,2,145,0,19,318000
True,Dhalia,P000238800,St Paul's Bay,Maisonette,Finished,3,2,155,0,27,310000
True,Dhalia,P000238798,Marsascala,Office,Unclassified,,1,56,56,10,70000
True,Dhalia,P000238797,Tarxien,Duplex Maisonette,Finished,3,2,186,0,10,475000
True,Dhalia,P000238796,Swieqi,Garage,Unclassified,,,63,0,0,140000
True,Dhalia,P000238793,Gudja,Penthouse,Plan,3,2,146,0,20,410000
True,Dhalia,P000238791,Gudja,Flats,Plan,2,2,81,0,10,235000
True,Dhalia,P000238789,Gudja,Flats,Plan,2,2,88,0,10,230000
True,Dhalia,P000238787,Gudja,Flats,Plan,2,1,132,0,10,230000
True,Dhalia,P000238785,Gudja,Maisonette,Plan,2,1,121,0,10,360000
True,Dhalia,P000238784,Zabbar,Flats,Finished,1,2,90,0,4,185000
True,Dhalia,P000238782,Zejtun,Terraced House,Furnished,3,3,255,165,42,755000
True,Dhalia,P000238781,Burmarrad,Flats,Plan,3,2,133,0,6,380000
True,Dhalia,P000238779,Gozo Ghajnsielem,Flats,Unclassified,3,2,105,0,5,211500
True,Dhalia,P000238778,Qormi,Terraced House,Unclassified,3,2,340,230,110,795000
True,Dhalia,P000238777,Swieqi,Penthouse,Furnished,2,2,160,0,75,680000
True,Dhalia,P000238776,Mellieha,Flats,Unclassified,2,3,146,0,16,550000
True,Dhalia,P000238775,Qormi,Townhouse,Furnished,3,2,132,132,14,295000
True,Dhalia,P000238774,Valletta,Shop,Unclassified,,,20,20,0,150000
True,Dhalia,P000238772,Birkirkara,Penthouse,Finished,2,2,131,0,29,350000
True,Dhalia,P000238770,Gozo Kercem,Townhouse,Unclassified,5,2,350,157,100,371000
True,Dhalia,P000238769,Fgura,Penthouse,Finished,3,3,141,0,12,350000
True,Dhalia,P000238763,Gzira,Flats,Unclassified,3,2,110,0,0,249000
True,Dhalia,P000238761,Mellieha,Flats,Unclassified,3,2,139,0,19,280000
True,Dhalia,P000238756,Siggiewi,Penthouse,Plan,1,1,112,0,22,286000
True,Dhalia,P000238752,Siggiewi,Flats,Plan,2,2,112,0,10,255000
True,Dhalia,P000238750,Siggiewi,Flats,Plan,3,2,142,0,10,304000
True,Dhalia,P000238747,Zabbar,Duplex Maisonette,Furnished,2,2,67,30,0,233000
True,Dhalia,P000238744,Dingli,Flats,Unclassified,3,2,170,0,20,355000
True,Dhalia,P000238743,Gudja,Flats,Unclassified,2,1,88,0,4,240000
True,Dhalia,P000238742,San Gwann,Flats,Unclassified,2,1,100,0,15,275000
True,Dhalia,P000238741,Sliema,Flats,Furnished,3,2,170,0,10,450000
True,Dhalia,P000238733,Sliema,Townhouse,Furnished,3,3,150,68,5,585000
True,Dhalia,P000238730,Msida,Townhouse,Plan,3,3,275,135,20,990000
True,Dhalia,P000238729,Zebbug,Flats,Shell,3,2,132,0,14,266000
True,Dhalia,P000238726,Qrendi,Townhouse,Unclassified,3,2,190,80,10,530000
True,Dhalia,P000238725,Zebbug,Townhouse,Furnished,2,2,145,105,10,325000
True,Dhalia,P000238724,Zebbug,Townhouse,Unclassified,2,2,95,55,5,370000
True,Dhalia,P000238722,Gozo Ir-Rabat,Flats,Furnished,3,2,100,0,10,302000
True,Dhalia,P000238721,Naxxar,Penthouse,Furnished,2,2,160,0,80,480000
True,Dhalia,P000238718,Mgarr,Flats,Furnished,1,1,60,0,0,190000
True,Dhalia,P000238717,Gozo Il-Qala,House of Character,Furnished,5,4,500,250,100,900000
True,Dhalia,P000238716,Gozo In-Nadur,Flats,Shell,2,1,85,0,4,148000
True,Dhalia,P000238715,Sliema,Flats,Unclassified,4,2,255,0,55,470000
True,Dhalia,P000238714,Siggiewi,Penthouse,Finished,3,2,171,0,44,525000
True,Dhalia,P000238713,Santa Venera,Flats,Unclassified,2,2,105,0,5,243500
True,Dhalia,P000238711,Swieqi,Flats,Finished,4,2,175,0,13,471000
True,Dhalia,P000238710,Swieqi,Flats,Finished,4,2,188,0,13,471000
True,Dhalia,P000238709,Swieqi,Flats,Finished,4,2,192,0,30,426000
True,Dhalia,P000238708,Swieqi,Flats,Finished,4,2,195,0,20,426000
True,Dhalia,P000238706,Zejtun,House of Character,Furnished,3,2,215,145,35,994500
