Is_Sale,Source,Reference,Town,Type,Stage,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
True,Frank Salt,752169,Cospicua,Town House,Unclassified,2,,,,,195000
True,Frank Salt,714493,Bugibba,Apartment,Furnished,3,1,120.00,,,225000
True,Frank Salt,714478,St Pauls Bay,Apartment,Unclassified,3,1,,,,225000
True,Frank Salt,039798,St Julians,Apartment,Unclassified,3,1,,,,239000
True,Frank Salt,752065,Kalkara,Maisonette,Furnished,1,,,,,245000
True,Frank Salt,752364,Cospicua,Maisonette,Shell,5,4,135.00,,,250000
True,Frank Salt,709480,St Pauls Bay,Apartment,Furnished,3,1,,,,290000
True,Frank Salt,423495,Qormi,Penthouse,Finished,2,,105.00,,,298000
True,Frank Salt,353748,Marsascala,Apartment,Finished,3,1,158.00,,,310000
True,Frank Salt,409144,Marsascala,Apartment,Finished,3,1,170.00,,,325000
True,Frank Salt,425548,Zejtun,House of Character,Furnished,2,2,,,,345000
True,Frank Salt,039197,Zejtun,Town House,Furnished,2,1,136.00,,,345000
True,Frank Salt,216216,Hamrun,Maisonette,Plan,4,1,300.00,,,365000
True,Frank Salt,425422,St. Angelo Mansions,Maisonette,Plan,1,1,80.00,,,365000
True,Frank Salt,216209,Zebbug,Maisonette,Furnished,3,1,,,,390000
True,Frank Salt,509550,Mellieha,Maisonette,Furnished,3,2,300.00,,,430000
True,Frank Salt,425585,Fort Cambridge,Apartment,Furnished,1,1,,,,450000
True,Frank Salt,752433,Senglea,Palazzo,Furnished,4,1,,,,465000
True,Frank Salt,042794,Senglea,Maisonette,Furnished,3,2,222.00,,,490000
True,Frank Salt,321399,Sliema,Apartment,Unclassified,3,1,,,,500000
True,Frank Salt,036085,St. Angelo Mansions,Apartment,Unclassified,3,1,130.00,,,595000
True,Frank Salt,038445,Pender Gardens,Apartment,Unclassified,2,2,,,,650000
True,Frank Salt,039573,Valletta,Maisonette,Unclassified,3,3,,,,650000
True,Frank Salt,043074,Pender Gardens,Apartment,Plan,3,1,172.00,,,660000
True,Frank Salt,752574,St Pauls Bay,Apartment,Unclassified,3,2,320.00,,,685000
True,Frank Salt,039501,Valletta,Apartment,Finished,2,2,94.00,,,695000
True,Frank Salt,351773,Tal-Ibrag,Maisonette,Plan,3,3,300.00,,,720000
True,Frank Salt,424712,Siggiewi,House of Character,Furnished,3,2,300.00,,,740000
True,Frank Salt,216197,Siggiewi,House of Character,Furnished,3,1,,,,745000
True,Frank Salt,915614,Swieqi,Penthouse,Finished,3,1,206.00,,,749000
True,Frank Salt,916351,Ta Monita,Penthouse,Plan,3,2,184.00,,,790000
True,Frank Salt,114123,Ghajnsielem,Apartment,Finished,3,3,208.00,,,795000
True,Frank Salt,029497,Valletta,Penthouse,Furnished,1,,190.00,,,795000
True,Frank Salt,752270,Vittoriosa,House of Character,Furnished,4,4,200.00,,,799000
True,Frank Salt,320217,Zebbug,House of Character,Finished,3,1,85.00,,,820000
True,Frank Salt,424329,Mdina,Terraced House,Furnished,3,,,,,850000
True,Frank Salt,916442,Cospicua,House of Character,Unconverted,3,2,,,,950000
True,Frank Salt,425704,The Shoreline at Smart City,Apartment,Plan,3,1,176.00,,,950000
True,Frank Salt,040403,San Gwann,Villa,Finished,3,3,315.00,,,1000000
True,Frank Salt,113844,Ghasri,Farmhouse,Furnished,3,1,,,,1030000
True,Frank Salt,320398,Gzira,Penthouse,Finished,3,2,240.00,,,1300000
True,Frank Salt,319942,Floriana,Palazzo,Furnished,12,4,500.00,,,2000000
True,Frank Salt,110460,Gharb,Farmhouse,Finished,5,1,928.00,,,2200000
True,Frank Salt,039632,San Gwann,House of Character,Unclassified,4,3,3000.00,,,2200000
True,Frank Salt,752221,Zejtun,Farmhouse,Furnished,5,3,2575.00,,,2400000
True,Frank Salt,914281,Lija,House of Character,Unclassified,5,3,1600.00,,,2500000
True,Frank Salt,916536,Birkirkara,House of Character,Furnished,3,1,,,,2650000
True,Frank Salt,915130,Valletta,Palazzo,Furnished,5,3,,,,2800000
True,Frank Salt,912742,Zejtun,Town House,Finished,5,1,2200.00,,,3100000
True,Frank Salt,039585,Mellieha,Bungalow,Finished,5,2,,,,3500000
True,Frank Salt,915339,Mellieha,Bungalow,Finished,3,4,139.00,,,3720000
True,Frank Salt,603865,Dingli,Farmhouse,Furnished,2,1,,,,
True,Frank Salt,115067,Qala,Penthouse,Unclassified,1,,60.00,,,150000
True,Frank Salt,713005,St Pauls Bay,Apartment,Unclassified,1,1,,,,165000
True,Frank Salt,114871,Marsalforn,Penthouse,Finished,1,1,105.00,,,169000
True,Frank Salt,511217,Fgura,Apartment,Furnished,3,1,100.00,,,210000
True,Frank Salt,714425,Qawra,Apartment,Finished,2,1,90.00,,,220000
True,Frank Salt,425435,Zabbar,Apartment,Furnished,2,1,95.00,,,220000
True,Frank Salt,713894,Qawra,Maisonette,Unclassified,3,1,100.00,,,225000
True,Frank Salt,214731,Birzebbugia,Apartment,Unclassified,3,1,120.00,,,230000
True,Frank Salt,424962,"Tuscany, Arezzo",Terraced House,Unclassified,2,1,170.00,,,230000
True,Frank Salt,916495,Cospicua,House of Character,Unclassified,2,1,,,,235000
True,Frank Salt,425208,Zejtun,Apartment,Furnished,3,1,120.00,,,240000
True,Frank Salt,818569,Birkirkara,Apartment,Unclassified,3,1,,,,249000
True,Frank Salt,817937,Birkirkara,Apartment,Furnished,2,1,,,,250000
True,Frank Salt,714392,Birkirkara,Maisonette,Unclassified,2,1,,,,275000
True,Frank Salt,215947,Fgura,Apartment,Finished,3,1,175.00,,,275000
True,Frank Salt,352249,Msida,Apartment,Furnished,3,1,150.00,,,279000
True,Frank Salt,713759,San Gwann,Apartment,Finished,3,1,116.00,,,282000
True,Frank Salt,215750,Marsascala,Penthouse,Shell,2,1,110.00,,,290000
True,Frank Salt,043027,Luqa,Apartment,Plan,3,1,155.00,,,299000
True,Frank Salt,619286,Luqa,Maisonette,Unclassified,3,2,180.00,,,315000
True,Frank Salt,714480,Qawra,Maisonette,Finished,3,1,,,,300000
True,Frank Salt,818560,Birkirkara,House of Character,Plan,2,,,,,319000
True,Frank Salt,750692,The Shoreline at Smart City,Apartment,Plan,1,,63.00,,,319000
True,Frank Salt,510964,St Pauls Bay,Apartment,Furnished,3,1,116.00,,,320000
True,Frank Salt,752575,Naxxar,Apartment,Unclassified,3,1,154.00,,,325000
True,Frank Salt,425428,Vittoriosa,House of Character,Furnished,1,1,,,,330000
True,Frank Salt,215859,Balzan,Town House,Unclassified,3,3,170.00,,,350000
True,Frank Salt,619628,Balzan,Apartment,Unclassified,2,2,90.00,,,350000
True,Frank Salt,817868,Marsaxlokk,Apartment,Finished,3,1,120.00,,,355000
True,Frank Salt,425476,The Shoreline at Smart City,Apartment,Plan,1,,72.00,,,365000
True,Frank Salt,714472,Qawra,Penthouse,Finished,2,1,159.00,,,370000
True,Frank Salt,915251,Cospicua,Town House,Unconverted,2,2,,,,375000
True,Frank Salt,510927,Mellieha,Penthouse,Furnished,3,1,115.00,,,375000
True,Frank Salt,511275,Mellieha,Maisonette,Unclassified,3,1,140.00,,,385000
True,Frank Salt,418192,St Julians,Apartment,Unclassified,1,1,64.00,,,390000
True,Frank Salt,320433,Gzira,Penthouse,Finished,2,1,150.00,,,395000
True,Frank Salt,215847,Marsascala,Maisonette,Furnished,3,1,135.00,,,420000
True,Frank Salt,916352,Sliema,Apartment,Finished,1,1,71.00,,,425000
True,Frank Salt,400774,Zurrieq,House of Character,Furnished,4,2,,,,750000
True,Frank Salt,042326,Bugibba,Apartment,Furnished,3,1,127.00,,,795000
True,Frank Salt,160055,Qala,House of Character,Finished,4,,,,,795000
True,Frank Salt,353389,St. Angelo Mansions,Apartment,Furnished,3,1,,,,820000
True,Frank Salt,913353,Sliema,Town House,Furnished,3,2,,,,825000
True,Frank Salt,852307,St Julians,Apartment,Finished,3,1,132.00,,,825000
True,Frank Salt,040410,Sliema,Apartment,Furnished,2,2,117.00,,,850000
True,Frank Salt,042210,Fort Cambridge,Apartment,Unclassified,3,1,184.00,,,875000
True,Frank Salt,914519,Mellieha,Maisonette,Furnished,3,2,270.00,,,880000
True,Frank Salt,751716,Valletta,Apartment,Unclassified,3,2,100.00,,,890000
True,Frank Salt,817820,Attard,Town House,Furnished,3,3,290.00,,,895000
True,Frank Salt,353902,St Julians,Villa,Unclassified,3,2,,,,900000
True,Frank Salt,619330,Zebbug,House of Character,Furnished,3,,,,,900000
True,Frank Salt,714296,Mellieha,Penthouse,Finished,2,1,200.00,,,950000
True,Frank Salt,453176,Tigne Point,Apartment,Plan,3,1,214.00,,,950000
True,Frank Salt,019844,Vittoriosa,House of Character,Unclassified,3,1,,,,950000
True,Frank Salt,417567,Zurrieq,House of Character,Furnished,4,2,300.00,,,969000
True,Frank Salt,038792,St Julians,House of Character,Furnished,4,2,,,,970000
True,Frank Salt,916234,St Julians,Apartment,Unclassified,2,1,225.00,,,425000
True,Frank Salt,425920,Attard,Maisonette,Finished,3,2,,,,435000
True,Frank Salt,114308,Xaghra,Terraced House,Unconverted,3,2,130.00,,,435000
True,Frank Salt,425705,Pembroke,Apartment,Furnished,3,2,108.00,,,440000
True,Frank Salt,453282,Madliena,Apartment,Finished,3,1,115.00,,,450000
True,Frank Salt,511270,Tas Sellum,Apartment,Finished,2,1,126.00,,,460000
True,Frank Salt,910687,Cospicua,Palazzo,Furnished,3,1,,,,465000
True,Frank Salt,618721,Attard,Maisonette,Finished,3,1,,,,475000
True,Frank Salt,353535,Tal-Ibrag,Maisonette,Unclassified,3,2,120.00,,,475000
True,Frank Salt,510926,Lija,Maisonette,Unclassified,4,1,157.00,,,486000
True,Frank Salt,817861,Birkirkara,House of Character,Furnished,5,,,,,490000
True,Frank Salt,425624,Marsaxlokk,Penthouse,Furnished,2,1,190.00,,,495000
True,Frank Salt,915370,Mosta,House of Character,Furnished,2,2,,,,495000
True,Frank Salt,352671,Tal-Ibrag,Apartment,Finished,3,2,,,,499000
True,Frank Salt,039414,Tal-Ibrag,Penthouse,Plan,3,,178.00,,,520000
True,Frank Salt,040387,Portomaso,Apartment,Plan,1,1,80.00,,,525000
True,Frank Salt,713612,St Pauls Bay,Apartment,Finished,3,1,125.00,,,525000
True,Frank Salt,351743,Kalkara,Terraced House,Unclassified,3,2,160.00,,,532000
True,Frank Salt,752169,Cospicua,Town House,Unclassified,2,,,,,195000
True,Frank Salt,714493,Bugibba,Apartment,Furnished,3,1,120.00,,,225000
True,Frank Salt,714478,St Pauls Bay,Apartment,Unclassified,3,1,,,,225000
True,Frank Salt,039798,St Julians,Apartment,Unclassified,3,1,,,,239000
True,Frank Salt,752065,Kalkara,Maisonette,Furnished,1,,,,,245000
True,Frank Salt,752364,Cospicua,Maisonette,Shell,5,4,135.00,,,250000
True,Frank Salt,709480,St Pauls Bay,Apartment,Furnished,3,1,,,,290000
True,Frank Salt,423495,Qormi,Penthouse,Finished,2,,105.00,,,298000
True,Frank Salt,353748,Marsascala,Apartment,Finished,3,1,158.00,,,310000
True,Frank Salt,409144,Marsascala,Apartment,Finished,3,1,170.00,,,325000
True,Frank Salt,425548,Zejtun,House of Character,Furnished,2,2,,,,345000
True,Frank Salt,039197,Zejtun,Town House,Furnished,2,1,136.00,,,345000
True,Frank Salt,216216,Hamrun,Maisonette,Plan,4,1,300.00,,,365000
True,Frank Salt,425422,St. Angelo Mansions,Maisonette,Plan,1,1,80.00,,,365000
True,Frank Salt,216209,Zebbug,Maisonette,Furnished,3,1,,,,390000
True,Frank Salt,509550,Mellieha,Maisonette,Furnished,3,2,300.00,,,430000
True,Frank Salt,425585,Fort Cambridge,Apartment,Furnished,1,1,,,,450000
True,Frank Salt,752433,Senglea,Palazzo,Furnished,4,1,,,,465000
True,Frank Salt,752169,Cospicua,Town House,Unclassified,2,,,,,195000
True,Frank Salt,714493,Bugibba,Apartment,Furnished,3,1,120.00,,,225000
True,Frank Salt,714478,St Pauls Bay,Apartment,Unclassified,3,1,,,,225000
True,Frank Salt,039798,St Julians,Apartment,Unclassified,3,1,,,,239000
True,Frank Salt,752065,Kalkara,Maisonette,Furnished,1,,,,,245000
True,Frank Salt,752364,Cospicua,Maisonette,Shell,5,4,135.00,,,250000
True,Frank Salt,709480,St Pauls Bay,Apartment,Furnished,3,1,,,,290000
True,Frank Salt,423495,Qormi,Penthouse,Finished,2,,105.00,,,298000
True,Frank Salt,353748,Marsascala,Apartment,Finished,3,1,158.00,,,310000
