Is_Sale,Source,Reference,Town,Type,Stage,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
False,QuickLets,73081,Gharghur,Apartments,Furnished,2,2,,,,850
False,QuickLets,73075,Mellieha,Maisonettes,Furnished,1,1,,,,750
False,QuickLets,73073,St. Paul's Bay,Apartments,Furnished,2,2,,,,900
False,QuickLets,73071,Salina,Apartments,Furnished,3,2,,,,1400
False,QuickLets,73059,Zejtun,Maisonettes,Furnished,3,3,,,,1200
False,QuickLets,73055,Gozo Qala,Apartments,Furnished,1,1,,,,450
False,QuickLets,73045,Sliema,Apartments,Furnished,3,3,,,,2500
False,QuickLets,73044,Zurrieq,Apartments,Furnished,3,2,,,,1300
False,QuickLets,73043,Swieqi,Apartments,Furnished,2,2,,,,1200
False,QuickLets,73041,Sliema,Penthouses,Furnished,2,2,140,,,2100
False,QuickLets,73038,Sliema,Maisonettes,Furnished,3,,,,,2000
False,QuickLets,73035,Gzira,Apartments,Furnished,3,2,150,,,1800
False,QuickLets,73026,St. Julians,Apartments,Furnished,2,2,,,,1600
False,QuickLets,73015,Qormi,Rooms,Furnished,1,1,,,,400
False,QuickLets,73014,Qormi,Rooms,Furnished,1,1,,,,400
False,QuickLets,73013,Qormi,Rooms,Furnished,1,1,,,,400
False,QuickLets,73010,Gozo Rabat (Victoria),Penthouses,Furnished,1,1,,,,500
False,QuickLets,73009,Swieqi,Apartments,Furnished,2,2,,,,1300
False,QuickLets,73003,Zebbug,Maisonettes,Furnished,3,2,,,,2000
False,QuickLets,72995,Bormla,Studio Apartments,Furnished,1,1,,,,1000
False,QuickLets,72994,Bormla,Studio Apartments,Furnished,1,1,,,,1000
False,QuickLets,72993,Bormla,Studio Apartments,Furnished,1,1,,,,1000
False,QuickLets,72992,St. Julians,Apartments,Furnished,1,1,,,,2000
False,QuickLets,72991,Gzira,Apartments,Furnished,2,2,,,,1100
False,QuickLets,72974,St. Julians,Apartments,Furnished,3,3,,,,1500
False,QuickLets,72971,Mosta,Apartments,Furnished,3,2,,,,1500
False,QuickLets,72969,Marsaskala,Apartments,Furnished,2,2,,,,900
False,QuickLets,72966,Msida,Apartments,Furnished,3,2,,,,1700
False,QuickLets,72964,Mosta,Maisonettes,Furnished,2,2,,,,1200
False,QuickLets,72939,Valletta,Maisonettes,Furnished,1,1,,,,1000
False,QuickLets,72926,Gozo Nadur,Terraced Houses,Furnished,3,2,,,,800
False,QuickLets,72919,Msida,Apartments,Furnished,3,2,,,,1300
False,QuickLets,72915,Safi,Apartments,Furnished,2,2,,,,1300
False,QuickLets,72912,Gozo Kercem,Maisonettes,Furnished,1,1,,,,600
False,QuickLets,72903,Wardija,Terraced Houses,Furnished,3,2,,,,1800
False,QuickLets,72902,Gozo Nadur,Apartments,Furnished,2,1,,,,550
False,QuickLets,72892,Gozo Xaghra,Apartments,Furnished,2,2,,,,650
False,QuickLets,72883,St. Paul's Bay,Penthouses,Furnished,2,2,,,,1200
False,QuickLets,72881,Birkirkara,Townhouses,Furnished,10,6,200,,,7000
False,QuickLets,72877,St. Julians,Apartments,Furnished,2,2,,,,2300
False,QuickLets,72875,Msida,Apartments,Furnished,2,1,,,,1200
False,QuickLets,72865,Qormi,Apartments,Furnished,3,4,,,,2100
False,QuickLets,72864,Qormi,Apartments,Furnished,2,2,,,,1750
False,QuickLets,72853,Gzira,Apartments,Furnished,3,2,,,,1500
False,QuickLets,72835,Ta' l-ibragg,Semi Detached Villa,Furnished,4,3,,,,3500
False,QuickLets,72833,Mgarr,Terraced Houses,Furnished,3,3,,,,1500
False,QuickLets,72831,Marsaskala,Apartments,Furnished,2,2,,,,1100
False,QuickLets,72817,Mellieha,Apartments,Furnished,2,1,,,,850
False,QuickLets,72816,Bormla,Studio Apartments,Furnished,1,1,,,,1000
False,QuickLets,72812,Iklin,Maisonettes,Furnished,3,2,,,,1300
False,QuickLets,72808,Gozo Nadur,Maisonettes,Furnished,1,1,,,,300
False,QuickLets,72802,Rabat,Penthouses,Furnished,1,1,,,,900
False,QuickLets,72790,Swatar,Penthouses,Furnished,2,2,,,,1500
False,QuickLets,72789,Swatar,Apartments,Furnished,3,2,140,,,1500
False,QuickLets,72779,Balzan,Apartments,Furnished,3,2,,,,1700
False,QuickLets,72778,Zebbug,Apartments,Furnished,2,2,,,,1000
False,QuickLets,72774,St. Julians,Apartments,Furnished,2,3,,,,7000
False,QuickLets,72771,Gozo Xaghra,Apartments,Furnished,3,3,,,,800
False,QuickLets,72765,Balzan,Townhouses,Furnished,3,4,,,,2300
False,QuickLets,72764,Gozo Xaghra,Penthouses,Furnished,3,2,,,,1000
False,QuickLets,72763,Gozo Xaghra,Farmhouses,Furnished,3,4,,,,1200
False,QuickLets,72755,Zebbug,Apartments,Furnished,3,2,,,,1500
False,QuickLets,72751,Bormla,Townhouses,Furnished,5,5,,,,2750
False,QuickLets,72748,Gozo Zebbug,Terraced Houses,Furnished,3,2,,,,950
False,QuickLets,72738,Birkirkara,Maisonettes,Furnished,3,2,,,,1200
False,QuickLets,72726,GOZO Marsalforn,Penthouses,Furnished,2,2,,,,900
False,QuickLets,72725,GOZO Marsalforn,Apartments,Furnished,3,2,,,,800
False,QuickLets,72724,Gzira,Apartments,Furnished,2,2,,,,1600
False,QuickLets,72722,Birkirkara,Apartments,Furnished,2,2,,,,900
