Is_Sale,Source,Reference,Town,Type,Stage,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
True,Sara Grech,SP447109,Madliena,Penthouse,Finished,3,3,260,130,130,1395000
True,Sara Grech,W-02P7FB,Sliema,Apartment,Furnished,4,2,,175,10,760000
True,Sara Grech,W-02GEAE,Qormi,House of Character,Furnished,4,4,230,475,55,960000
True,Sara Grech,W-02N0H3,Cospicua,Townhouse,Furnished,2,2,,82,,395000
True,Sara Grech,W-02LXBY,Rabat,House of Character,Finished,3,2,135,,,1200000
True,Sara Grech,W-02K2VN,Bahar Ic Caghaq,Penthouse,Furnished,3,3,,160,40,850000
True,Sara Grech,W-02KV56,Swieqi,Penthouse,Finished,2,2,160,82,78,520000
True,Sara Grech,W-02JGC3,Sliema,Townhouse,Finished,5,3,90,220,30,1050000
True,Sara Grech,W-02H4UX,Mqabba,House of Character,Furnished,3,2,,,,850000
True,Sara Grech,W-02NCX9,Ghaxaq,House of Character,Furnished,4,4,415,233,210,1190000
True,Sara Grech,W-026GQB,Zurrieq,House of Character,Finished,4,2,289,,,860000
True,Sara Grech,W-02MRDH,Sliema,Townhouse,Furnished,2,1,,220,,550000
True,Sara Grech,W-02OT4N,Mosta,Penthouse,Finished,2,1,89,50,39,300000
True,Sara Grech,W-02PFQX,Swatar,Penthouse,Finished,3,2,,165,25,475000
True,Sara Grech,STH449961,Zejtun,Terraced House,Unclassified,3,3,170,290,50,755000
True,Sara Grech,SSDV447920,Swieqi,Semi Detached Villa,Unclassified,5,3,590,350,415,1750000
True,Sara Grech,W-0293O6,Rabat,House of Character,Furnished,2,1,26000,400,25600,3300000
True,Sara Grech,STH448817,Attard,Terraced House,Unclassified,3,3,127,190,75,786000
True,Sara Grech,ST449835,Sliema,Townhouse,Unclassified,4,4,130,225,30,860000
True,Sara Grech,SM449906,Floriana,Maisonette,Furnished,1,2,56,56,33,350000
True,Sara Grech,SSDV449904,Madliena,Semi Detached Villa,Unclassified,3,3,,,,2900000
True,Sara Grech,SM447111,Mosta,Maisonette,Furnished,3,2,179,124,55,485000
True,Sara Grech,W-02HKU2,Salina,House of Character,Shell,4,4,2300,400,2100,1900000
True,Sara Grech,ST447118,Zejtun,Townhouse,Unclassified,4,2,198,,,900000
True,Sara Grech,W-02MRDP,Hamrun,Townhouse,Finished,3,2,250,200,150,530000
True,Sara Grech,W-02OWNJ,Valletta,Apartment,Unclassified,3,2,,97,,590000
True,Sara Grech,W-02ORZZ,Hamrun,Townhouse,Unclassified,3,3,85,150,,380000
True,Sara Grech,W-02P5V5,Rabat,Plot,Unclassified,,,155,,,550000
True,Sara Grech,W-02LSF5,Qawra,Penthouse,Unclassified,2,2,,104,,390000
True,Sara Grech,W-02LPRK,Lija,Townhouse,Plan,3,3,315,285,,2400000
True,Sara Grech,W-02OG35,Mosta,Apartment,Finished,3,2,,109,,317000
True,Sara Grech,W-02Q7IN,Balzan,Apartment,Finished,3,2,,130,8,335000
True,Sara Grech,W-02L4GZ,B'Kara,House of Character,Furnished,4,2,,200,20,490000
True,Sara Grech,W-02P0TE,Attard,Penthouse,Finished,3,2,,118,34,485000
True,Sara Grech,W-02LIQC,Attard,Penthouse,Shell,2,2,,123,75,548000
True,Sara Grech,W-01DOWU,Mosta,Villa,Unclassified,4,6,1820,382,,5000000
True,Sara Grech,W-02JYQ8,Lija,House of Character,Furnished,4,,1544,456,1,2500000
True,Sara Grech,W-02NGJW,Mosta,Maisonette,Furnished,3,2,,127,,345000
True,Sara Grech,W-02Q278,Xaghra (Gozo),House of Character,Furnished,3,4,140,138,60,675000
True,Sara Grech,W-02Q5UK,M'Scala,Penthouse,Plan,3,2,,110,27,405000
True,Sara Grech,W-02Q5SO,M'Scala,Apartment,Plan,3,2,,112,,300000
True,Sara Grech,W-02NIXC,Siggiewi,Townhouse,Furnished,3,2,124,225,,480000
True,Sara Grech,W-01ZD03,Zebbug,House of Character,Furnished,3,3,460,600,160,995000
True,Sara Grech,W-02GIPZ,Swieqi,Penthouse,Furnished,3,2,,195,230,1300000
True,Sara Grech,SA448022,Sliema,Apartment,Furnished,3,2,150,138,12,695000
True,Sara Grech,W-02CF0H,St.Venera,Penthouse,Furnished,3,2,160,110,50,370000
True,Sara Grech,W-02OJ9G,Vittoriosa,Townhouse,Unclassified,4,3,70,150,,450000
True,Sara Grech,W-02PK2J,Cospicua,Townhouse,Unclassified,4,2,,90,,445000
True,Sara Grech,W-02NXFZ,Qrendi,House of Character,Furnished,3,2,350,600,,1375000
True,Sara Grech,W-02O7CU,Mqabba,House of Character,Furnished,3,2,640,480,210,950000
True,Sara Grech,W-02NUV7,Tarxien,Private Maisonette,Unclassified,3,2,,315,,400000
True,Sara Grech,W-02L91T,Zabbar,Penthouse,Unclassified,3,3,,70,,450000
True,Sara Grech,W-02EXKN,Kalkara,Townhouse,Furnished,2,3,65,220,,750000
True,Sara Grech,W-029URP,Senglea,Townhouse,Unclassified,3,,95,200,,475000
True,Sara Grech,W-029NHM,Vittoriosa,Townhouse,Unclassified,3,2,,180,,690000
True,Sara Grech,W-02414E,Kalkara,Terraced House,Finished,4,2,,290,,680000
True,Sara Grech,W-01Q8VW,Vittoriosa,House of Character,Furnished,4,2,,100,,950000
True,Sara Grech,W-02PMVU,Zurrieq,Private Maisonette,Furnished,2,1,,140,,350000
True,Sara Grech,W-01HYRO,Buskett,Bungalow,Unclassified,3,4,,330,,3150000
True,Sara Grech,W-02OLVR,St.Julians,Penthouse,Plan,3,4,,365,100,4500000
True,Sara Grech,SA449619,Mosta,Apartment,Furnished,3,2,140,130,10,345000
True,Sara Grech,W-02ORO5,St.Pauls Bay,Penthouse,Finished,3,3,,170,30,650000
True,Sara Grech,W-02OPRV,Qawra,Apartment,Finished,3,2,130,120,10,375000
True,Sara Grech,W-02PWZ6,St.Pauls Bay,Apartment,Finished,3,2,,123,,310000
True,Sara Grech,W-02NZ0R,Bugibba,Apartment,Unclassified,3,2,,115,15,795000
True,Sara Grech,W-02GQLQ,Selmun,Penthouse,Finished,3,3,,,,970000
True,Sara Grech,W-02MQ9W,Bugibba,Penthouse,Finished,3,2,140,110,30,400000
True,Sara Grech,W-02MQ9Z,Bugibba,Penthouse,Finished,3,2,,127,20,370000
True,Sara Grech,W-02MQA0,Bugibba,Penthouse,Finished,3,2,,128,,420000
True,Sara Grech,W-02MQA1,Bugibba,Penthouse,Finished,3,2,,128,,360000
True,Sara Grech,W-02I3FU,St.Pauls Bay,Apartment,Unclassified,3,3,,80,,585000
True,Sara Grech,W-02I25I,St.Pauls Bay,Apartment,Unclassified,3,3,,240,,553000
True,Sara Grech,W-02HXZB,Mellieha,Villa,Furnished,6,3,,80,,11000000
True,Sara Grech,W-02I2O4,Mellieha,Villa,Unclassified,10,8,1600,,,3720000
True,Sara Grech,W-02HYZJ,Mellieha,Apartment,Finished,3,3,,294,,850000
True,Sara Grech,W-02K57E,Qawra,Apartment,Furnished,3,3,,120,,435000
True,Sara Grech,W-02J9QM,Qawra,Penthouse,Finished,3,2,125,108,17,310000
True,Sara Grech,W-02NIPR,Zebbug,Private Maisonette,Unclassified,4,2,,295,,520000
True,Sara Grech,W-0264JI,Rabat,Townhouse,Unclassified,3,1,430,240,,1500000
True,Sara Grech,W-02L4OL,Zebbug,House of Character,Furnished,3,3,85,300,,820000
True,Sara Grech,W-02MHKK,Rabat,House of Character,Furnished,,,316,,,1370000
True,Sara Grech,W-02O31X,Zebbug,Penthouse,Finished,2,2,,78,46,310000
True,Sara Grech,W-02O31Z,Zebbug,Penthouse,Finished,2,2,,80,44,330000
True,Sara Grech,W-02NQNO,Zebbug,Apartment,Furnished,3,2,,,,450000
True,Sara Grech,W-02MAG2,Siggiewi,Villa,Furnished,4,3,15700,129,,4000000
True,Sara Grech,W-02L7LT,Dingli,Townhouse,Furnished,3,2,110,210,,720000
True,Sara Grech,W-02Q8WI,Rabat,Apartment,Finished,3,2,,156,,385000
True,Sara Grech,W-02NX08,Mdina,Terraced House,Unconverted,3,3,,180,,850000
True,Sara Grech,W-01CWN2,Siggiewi,Villa,Unclassified,4,3,21000,600,21000,4500000
True,Sara Grech,W-01DHGU,Dingli,Maisonette,Furnished,3,2,178,175,65,595000
True,Sara Grech,W-02JZUF,Zebbug,Townhouse,Unclassified,4,2,300,260,40,480000
True,Sara Grech,W-02JCBM,Zebbug,Townhouse,Unclassified,5,,550,,,1060000
True,Sara Grech,W-02INQ6,Zebbug,Penthouse,Finished,2,2,,109,,348000
True,Sara Grech,W-02CA5B,Zebbug,Palazzo,Unclassified,,,6000,3000,5000,5500000
True,Sara Grech,W-02ALWG,Mdina,Palazzo,Unconverted,5,4,,,,6650000
True,Sara Grech,W-02ADZZ,Zebbug,Palazzo,Unclassified,,,3061,1000,2554,4500000
True,Sara Grech,W-02BL3Y,Dingli,Penthouse,Finished,3,2,,135,,480000
True,Sara Grech,W-02LMXT,St.Julians,Maisonette,Unclassified,3,2,,115,,320000
True,Sara Grech,W-02OLEM,Ta' Xbiex,Villa,Furnished,5,5,545,,,2800000
True,Sara Grech,W-02MHD7,Swieqi,Apartment,Finished,2,,,,,420000
True,Sara Grech,W-01CXZS,Valletta,Penthouse,Unclassified,2,2,,141,35,1295000
True,Sara Grech,W-02MJBC,Swieqi,Apartment,Unclassified,3,2,,116,15,350000
True,Sara Grech,W-02JBIS,Sliema,Penthouse,Furnished,3,3,,140,,1000000
True,Sara Grech,W-02NV9J,St.Julians,Penthouse,Finished,3,3,,250,30,3500000
True,Sara Grech,W-02MJLF,St.Julians,Apartment,Finished,2,2,,,,620000
True,Sara Grech,W-02MJLO,St.Julians,Apartment,Finished,2,2,,98,,640000
True,Sara Grech,W-02N5VE,St.Julians,Townhouse,Furnished,4,2,110,180,50,550000
True,Sara Grech,W-02MSYI,Sliema,Apartment,Finished,2,3,,92,10,690000
