Is_Sale,Source,Reference,Town,Type,Stage,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
True,Zanzi,61442,Birzebbuga,Townhouses,Unclassified,3,1,220,,,410000
True,Zanzi,56930,Madliena,Semi Detached Villa,Furnished,4,5,700,,,2800000
True,Zanzi,24964,Mellieha,Penthouses,Plan,3,2,165,,,1112000
True,Zanzi,24963,Mellieha,Penthouses,Plan,3,,167,,,1112000
True,Zanzi,24962,Mellieha,Penthouses,Plan,3,2,168,,,1112000
True,Zanzi,24961,Mellieha,Penthouses,Plan,3,2,170,,,1112000
True,Zanzi,24960,Mellieha,Apartment,Plan,3,3,178,,,625000
True,Zanzi,24959,Mellieha,Apartment,Plan,3,3,180,,,625000
True,Zanzi,24957,Mellieha,Apartment,Plan,3,3,185,,,625000
True,Zanzi,24955,Mellieha,Apartment,Plan,3,3,180,,,575000
True,Zanzi,24951,Mellieha,Apartment,Plan,3,3,187,,,525000
True,Zanzi,24949,Mellieha,Apartment,Plan,3,3,189,,,525000
True,Zanzi,24948,Mellieha,Apartment,Plan,3,3,190,,,569000
True,Zanzi,24947,Mellieha,Apartment,Plan,3,3,194,,,525000
True,Zanzi,42817,Msida,Apartment,Plan,3,2,180,,,435000
True,Zanzi,38066,Santa Venera,Apartment,Plan,2,2,92,,,185000
True,Zanzi,38063,Santa Venera,Maisonette,Plan,2,2,120,,,210000
True,Zanzi,61894,Balzan,Apartment,Finished,3,2,160,,,360000
True,Zanzi,64211,Hamrun,Townhouses,Unclassified,6,3,160,,,290000
True,Zanzi,62645,Qawra,Apartment,Plan,3,2,150,,,350000
True,Zanzi,41881,Bormla,Penthouses,Finished,1,1,108,,,300000
True,Zanzi,34510,Bormla,Apartment,Finished,2,2,126,,,280000
True,Zanzi,65051,Zurrieq,Apartment,Furnished,3,2,110,,,320000
True,Zanzi,65018,Tarxien,Garage/Parking Space,Unclassified,0,,65,,,75000
True,Zanzi,64955,Mellieha,Apartment,Furnished,3,3,210,,,710000
True,Zanzi,64945,Attard,Garage/Parking Space,Unclassified,0,,23,,,30000
True,Zanzi,64890,Naxxar,Apartment,Furnished,3,2,150,,,335000
