,Town
St Julian's,1907
Marsascala,1108
St Paul's Bay,1092
Zabbar,456
Ta' l-Ibragg,434
Zebbug,413
Santa Venera,320
Pieta,313
Swatar,305
Gharghur,242
Portomaso,205
Paola,203
Fort Cambridge,199
Kappara,199
Ghaxaq,183
Xemxija,182
Bahar Ic-Caghaq,181
Madliena,174
Luqa,150
Tigne Point,138
Iklin,134
Xghajra,120
Pender Place,118
San Pawl tat Targa,106
Burmarrad,102
Guardamangia,97
St Julians,81
Dingli,78
Vittoriosa,76
Gozo - Zebbug,75
Marsa,70
Zebbiegh,63
Mqabba,54
Manikata,53
Gozo - Kercem,53
Santa Maria Estate,52
Safi,51
Gozo Marsalforn,50
Wardija,47
Gozo Ir-Rabat,39
Kirkop,38
The Shoreline,37
Gozo Xaghra,37
Gozo - Ghasri,37
The Village,35
Bahrija,33
Salina,32
Ta' Giorni,29
Gozo In-Nadur,29
Gozo Il-Qala,29
Gozo Ghajnsielem,29
Birguma,28
Gozo Ix-Xewkija,27
Bidnija,25
Mtarfa,24
Ta'Xbiex,20
Fleur De Lys,19
Victoria Gardens,16
Gozo - Santa Lucija,16
Mriehel,14
L-Iklin,14
High Ridge,13
Gozo Iz-Zebbug,13
Gozo Kercem,12
Bahar ic-Caghaq,12
Gozo L-Gharb,12
Gozo Xlendi,12
Mtahleb,12
The Gardens,12
Mensija,11
Gozo - Fort Chambray,11
Gozo Fontana,11
Ta'L-ibrag,9
Msida University Heights,7
Buskett,7
Ta' Paris,7
Handaq,6
Santa Lucia,6
St Andrew's,5
Il-Kortin,4
Gozo L-Ghasri,4
San Pawl Tat-Targa,4
Gozo San Lawrenz,4
Maghtab,3
Ta Monita Residence,3
Gwardamangia,2
Monterosa Gardens,2
Bingemma,2
Blata l' Bajda,2
Gozo Il-Munxar,1
Blata il-Bajda,1
Fleur de Lys,1
Hal-Far,1
Benghajsa,1
Ta' Qali,1
Mistra,1
Ta' Zwejt,1
Ghajn Tuffieha,1
Bir id-deheb,1
St Andrews,1
